Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,68,68,0,172,767,0,0.8168264110756124,0.0,0.0,0.0,0.8168264110756124
10,0,28,28,0,72,398,0,0.8468085106382979,0.0,0.0,0.0,0.8468085106382979
15,0,37,37,0,78,235,0,0.7507987220447284,0.0,0.0,0.0,0.7507987220447284
20,0,15,15,0,35,200,0,0.851063829787234,0.0,0.0,0.0,0.851063829787234
25,0,24,24,0,39,149,0,0.7925531914893617,0.0,0.0,0.0,0.7925531914893617
30,0,25,25,0,37,120,0,0.7643312101910829,0.0,0.0,0.0,0.7643312101910829
35,0,13,13,0,19,116,0,0.8592592592592593,0.0,0.0,0.0,0.8592592592592593
40,0,14,14,0,21,97,0,0.8220338983050848,0.0,0.0,0.0,0.8220338983050848
45,0,13,13,0,18,87,0,0.8285714285714286,0.0,0.0,0.0,0.8285714285714286
50,0,10,10,0,14,80,0,0.851063829787234,0.0,0.0,0.0,0.851063829787234
55,0,14,14,0,18,68,0,0.7906976744186046,0.0,0.0,0.0,0.7906976744186046
60,0,9,9,0,14,65,0,0.8227848101265823,0.0,0.0,0.0,0.8227848101265823
