Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,48,48,0,494,441,0,0.4716577540106952,0.0,0.0,0.0,0.4716577540106952
10,0,38,38,0,226,242,0,0.5170940170940171,0.0,0.0,0.0,0.5170940170940171
15,0,33,33,0,145,167,0,0.5352564102564102,0.0,0.0,0.0,0.5352564102564102
20,0,29,29,0,113,121,0,0.5170940170940171,0.0,0.0,0.0,0.5170940170940171
25,0,20,20,0,102,85,0,0.45454545454545453,0.0,0.0,0.0,0.45454545454545453
30,0,24,24,0,79,77,0,0.4935897435897436,0.0,0.0,0.0,0.4935897435897436
35,0,25,25,0,70,64,0,0.47761194029850745,0.0,0.0,0.0,0.47761194029850745
40,0,17,17,0,65,52,0,0.4444444444444444,0.0,0.0,0.0,0.4444444444444444
45,0,16,16,0,52,52,0,0.5,0.0,0.0,0.0,0.5
50,0,12,12,0,57,37,0,0.39361702127659576,0.0,0.0,0.0,0.39361702127659576
55,0,18,18,0,36,49,0,0.5764705882352941,0.0,0.0,0.0,0.5764705882352941
60,0,14,14,0,33,45,0,0.5769230769230769,0.0,0.0,0.0,0.5769230769230769
65,0,12,12,0,25,47,0,0.6527777777777778,0.0,0.0,0.0,0.6527777777777778
70,0,16,16,0,28,39,0,0.582089552238806,0.0,0.0,0.0,0.582089552238806
75,0,9,9,0,31,32,0,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079
80,0,9,9,0,31,28,0,0.4745762711864407,0.0,0.0,0.0,0.4745762711864407
