Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,46,46,0,455,480,0,0.5133689839572193,0.0,0.0,0.0,0.5133689839572193
10,0,41,41,0,229,239,0,0.5106837606837606,0.0,0.0,0.0,0.5106837606837606
15,0,29,29,0,143,169,0,0.5416666666666666,0.0,0.0,0.0,0.5416666666666666
20,0,30,30,0,116,118,0,0.5042735042735043,0.0,0.0,0.0,0.5042735042735043
25,0,21,21,0,104,83,0,0.44385026737967914,0.0,0.0,0.0,0.44385026737967914
30,0,22,22,0,84,72,0,0.46153846153846156,0.0,0.0,0.0,0.46153846153846156
35,0,19,19,0,67,67,0,0.5,0.0,0.0,0.0,0.5
40,0,18,18,0,59,58,0,0.49572649572649574,0.0,0.0,0.0,0.49572649572649574
45,0,17,17,0,51,53,0,0.5096153846153846,0.0,0.0,0.0,0.5096153846153846
50,0,15,15,0,55,39,0,0.4148936170212766,0.0,0.0,0.0,0.4148936170212766
55,0,18,18,0,39,46,0,0.5411764705882353,0.0,0.0,0.0,0.5411764705882353
60,0,12,12,0,32,46,0,0.5897435897435898,0.0,0.0,0.0,0.5897435897435898
65,0,13,13,0,23,49,0,0.6805555555555556,0.0,0.0,0.0,0.6805555555555556
70,0,15,15,0,32,35,0,0.5223880597014925,0.0,0.0,0.0,0.5223880597014925
75,0,8,8,0,29,34,0,0.5396825396825397,0.0,0.0,0.0,0.5396825396825397
80,0,9,9,0,29,30,0,0.5084745762711864,0.0,0.0,0.0,0.5084745762711864
