Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,43,30,380,107,367,81,0.7989304812834225,0.7802874743326489,0.824295010845987,0.8016877637130801,0.7992783071107572
10,13,39,26,195,53,186,34,0.8141025641025641,0.7862903225806451,0.851528384279476,0.8176100628930818,0.8148855310518719
15,13,31,18,138,61,97,16,0.7532051282051282,0.6934673366834171,0.8961038961038961,0.7818696883852692,0.7550139733684038
20,13,25,12,97,24,95,18,0.8205128205128205,0.8016528925619835,0.8434782608695652,0.8220338983050848,0.8208987943003289
25,11,26,15,81,29,67,10,0.7914438502673797,0.7363636363636363,0.8901098901098901,0.8059701492537313,0.7940132783882783
30,10,23,13,63,24,56,13,0.7628205128205128,0.7241379310344828,0.8289473684210527,0.7730061349693251,0.7644736842105263
35,10,18,8,58,19,48,9,0.7910447761194029,0.7532467532467533,0.8656716417910447,0.8055555555555556,0.7910447761194029
40,9,17,8,48,12,47,10,0.811965811965812,0.8,0.8275862068965517,0.8135593220338984,0.8120981881940386
45,10,19,9,40,14,40,10,0.7692307692307693,0.7407407407407407,0.8,0.7692307692307693,0.7703703703703704
50,10,18,8,42,20,28,4,0.7446808510638298,0.6774193548387096,0.9130434782608695,0.7777777777777778,0.7481884057971014
55,9,16,7,36,17,26,6,0.7294117647058823,0.6792452830188679,0.8571428571428571,0.7578947368421053,0.7308970099667773
60,9,17,8,31,12,28,7,0.7564102564102564,0.7209302325581395,0.8157894736842105,0.7654320987654321,0.7578947368421052
65,8,11,3,34,15,20,3,0.75,0.6938775510204082,0.918918918918919,0.7906976744186046,0.7451737451737452
70,8,14,6,29,10,23,5,0.7761194029850746,0.7435897435897436,0.8529411764705882,0.7945205479452054,0.7749554367201426
75,9,11,2,25,2,31,5,0.8888888888888888,0.9259259259259259,0.8333333333333334,0.8771929824561403,0.8863636363636365
80,8,12,4,24,5,23,7,0.7966101694915254,0.8275862068965517,0.7741935483870968,0.8,0.7978110599078341
