Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,19,55,36,336,125,355,121,0.7374599786552828,0.7288503253796096,0.7352297592997812,0.7320261437908496,0.7374065463165573
10,18,40,22,166,60,179,64,0.7356076759061834,0.7345132743362832,0.7217391304347827,0.7280701754385965,0.7353465526650901
15,18,41,23,111,53,110,39,0.7060702875399361,0.676829268292683,0.74,0.7070063694267515,0.7074233128834355
20,17,28,11,92,39,81,23,0.7361702127659574,0.7022900763358778,0.8,0.7479674796747967,0.7375
25,17,24,7,68,41,57,22,0.6648936170212766,0.6238532110091743,0.7555555555555555,0.6834170854271356,0.6685941043083901
30,17,23,6,55,24,58,20,0.7197452229299363,0.6962025316455697,0.7333333333333333,0.7142857142857143,0.7203252032520324
35,16,20,4,47,36,33,18,0.5970149253731343,0.5662650602409639,0.7230769230769231,0.6351351351351351,0.6006688963210702
40,16,19,3,47,20,40,11,0.7372881355932204,0.7014925373134329,0.8103448275862069,0.752,0.7385057471264367
45,15,19,4,40,21,34,10,0.7047619047619048,0.6557377049180327,0.8,0.7207207207207207,0.7090909090909091
50,16,14,-2,36,22,25,11,0.648936170212766,0.6206896551724138,0.7659574468085106,0.6857142857142857,0.648936170212766
55,15,15,0,32,22,22,10,0.627906976744186,0.5925925925925926,0.7619047619047619,0.6666666666666666,0.6309523809523809
60,14,16,2,30,14,25,10,0.6962025316455697,0.6818181818181818,0.75,0.7142857142857143,0.6955128205128205
65,15,15,0,27,14,22,10,0.6712328767123288,0.6585365853658537,0.7297297297297297,0.6923076923076923,0.6704204204204205
70,14,16,2,23,15,18,11,0.6119402985074627,0.6052631578947368,0.6764705882352942,0.6388888888888888,0.6109625668449198
