Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,3,3,0,3,928,0,0.9967776584317938,0.0,0.0,0.0,0.9967776584317938
10,0,54,54,0,135,331,0,0.7103004291845494,0.0,0.0,0.0,0.7103004291845494
15,0,15,15,0,16,295,0,0.9485530546623794,0.0,0.0,0.0,0.9485530546623794
20,0,15,15,0,24,209,0,0.8969957081545065,0.0,0.0,0.0,0.8969957081545065
25,0,22,22,0,25,162,0,0.8663101604278075,0.0,0.0,0.0,0.8663101604278075
30,0,10,10,0,11,145,0,0.9294871794871795,0.0,0.0,0.0,0.9294871794871795
35,0,12,12,0,13,120,0,0.9022556390977443,0.0,0.0,0.0,0.9022556390977443
40,0,22,22,0,25,92,0,0.7863247863247863,0.0,0.0,0.0,0.7863247863247863
45,0,5,5,0,5,99,0,0.9519230769230769,0.0,0.0,0.0,0.9519230769230769
50,0,15,15,0,19,75,0,0.7978723404255319,0.0,0.0,0.0,0.7978723404255319
55,0,9,9,0,13,72,0,0.8470588235294118,0.0,0.0,0.0,0.8470588235294118
60,0,11,11,0,15,63,0,0.8076923076923077,0.0,0.0,0.0,0.8076923076923077
65,0,19,19,0,27,45,0,0.625,0.0,0.0,0.0,0.625
70,0,11,11,0,19,48,0,0.7164179104477612,0.0,0.0,0.0,0.7164179104477612
75,0,12,12,0,13,50,0,0.7936507936507936,0.0,0.0,0.0,0.7936507936507936
80,0,8,8,0,9,50,0,0.847457627118644,0.0,0.0,0.0,0.847457627118644
85,0,8,8,0,12,43,0,0.7818181818181819,0.0,0.0,0.0,0.7818181818181819
90,0,5,5,0,5,47,0,0.9038461538461539,0.0,0.0,0.0,0.9038461538461539
95,0,9,9,0,12,37,0,0.7551020408163265,0.0,0.0,0.0,0.7551020408163265
100,0,8,8,0,12,35,0,0.7446808510638298,0.0,0.0,0.0,0.7446808510638298
