Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,72,72,0,355,586,0,0.6227417640807651,0.0,0.0,0.0,0.6227417640807651
10,0,58,58,0,187,284,0,0.6029723991507431,0.0,0.0,0.0,0.6029723991507431
15,0,46,46,0,101,213,0,0.678343949044586,0.0,0.0,0.0,0.678343949044586
20,0,39,39,0,129,107,0,0.4533898305084746,0.0,0.0,0.0,0.4533898305084746
25,0,31,31,0,106,83,0,0.43915343915343913,0.0,0.0,0.0,0.43915343915343913
30,0,37,37,0,67,90,0,0.5732484076433121,0.0,0.0,0.0,0.5732484076433121
35,0,27,27,0,64,71,0,0.5259259259259259,0.0,0.0,0.0,0.5259259259259259
40,0,17,17,0,79,39,0,0.3305084745762712,0.0,0.0,0.0,0.3305084745762712
45,0,22,22,0,29,76,0,0.7238095238095238,0.0,0.0,0.0,0.7238095238095238
50,0,19,19,0,62,33,0,0.3473684210526316,0.0,0.0,0.0,0.3473684210526316
