Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,18,18,0,555,0,380,0,1.0,1.0,1.0,1.0,1.0
10,18,18,0,278,0,190,0,1.0,1.0,1.0,1.0,1.0
15,17,18,1,183,0,125,4,0.9871794871794872,1.0,0.9786096256684492,0.9891891891891892,0.9893048128342246
20,17,17,0,139,0,95,0,1.0,1.0,1.0,1.0,1.0
25,16,16,0,107,0,79,1,0.9946524064171123,1.0,0.9907407407407407,0.9953488372093023,0.9953703703703703
30,16,16,0,91,0,63,2,0.9871794871794872,1.0,0.978494623655914,0.9891304347826086,0.989247311827957
35,16,16,0,77,0,55,2,0.9850746268656716,1.0,0.9746835443037974,0.9871794871794872,0.9873417721518987
40,16,16,0,70,0,47,0,1.0,1.0,1.0,1.0,1.0
45,15,16,1,58,0,42,4,0.9615384615384616,1.0,0.9354838709677419,0.9666666666666667,0.967741935483871
50,16,16,0,52,0,42,0,1.0,1.0,1.0,1.0,1.0
55,14,14,0,50,0,35,0,1.0,1.0,1.0,1.0,1.0
60,14,14,0,48,0,30,0,1.0,1.0,1.0,1.0,1.0
65,14,16,2,40,0,29,3,0.9583333333333334,1.0,0.9302325581395349,0.963855421686747,0.9651162790697674
70,14,15,1,37,0,28,2,0.9701492537313433,1.0,0.9487179487179487,0.9736842105263158,0.9743589743589743
75,14,14,0,34,0,28,1,0.9841269841269841,1.0,0.9714285714285714,0.9855072463768116,0.9857142857142858
80,14,14,0,34,0,25,0,1.0,1.0,1.0,1.0,1.0
