Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,16,31,15,288,41,430,182,0.7630180658873539,0.8753799392097265,0.6127659574468085,0.72090112640801,0.7628585625875232
10,16,26,10,146,21,215,89,0.7664543524416136,0.874251497005988,0.6212765957446809,0.7263681592039801,0.7661467724486116
15,16,23,7,99,16,143,56,0.7707006369426752,0.8608695652173913,0.6387096774193548,0.7333333333333333,0.7690403733008724
20,16,19,3,72,8,111,45,0.7754237288135594,0.9,0.6153846153846154,0.7309644670050761,0.7740788623141565
25,15,20,5,63,11,84,31,0.7777777777777778,0.8513513513513513,0.6702127659574468,0.75,0.7772116461366181
30,15,21,6,50,9,71,27,0.7707006369426752,0.847457627118644,0.6493506493506493,0.7352941176470589,0.7684253246753247
35,16,21,5,43,8,62,22,0.7777777777777778,0.8431372549019608,0.6615384615384615,0.7413793103448276,0.7736263736263735
40,15,16,1,33,6,54,25,0.7372881355932204,0.8461538461538461,0.5689655172413793,0.6804123711340206,0.7344827586206897
45,15,20,5,33,5,48,19,0.7714285714285715,0.868421052631579,0.6346153846153846,0.7333333333333333,0.7701378809869376
50,15,15,0,32,4,43,16,0.7894736842105263,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.7907801418439716
