Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,30,15,313,34,345,243,0.7037433155080214,0.9020172910662824,0.5629496402877698,0.6932447397563677,0.7366199388773942
10,14,23,9,148,17,173,130,0.6858974358974359,0.896969696969697,0.5323741007194245,0.6681715575620768,0.7214502082544492
15,15,30,15,100,16,112,84,0.6794871794871795,0.8620689655172413,0.5434782608695652,0.6666666666666666,0.7092391304347826
20,14,24,10,78,12,84,60,0.6923076923076923,0.8666666666666667,0.5652173913043478,0.6842105263157895,0.7201086956521738
25,15,22,7,58,11,69,49,0.679144385026738,0.8405797101449275,0.5420560747663551,0.6590909090909091,0.7022780373831776
30,13,19,6,46,10,55,45,0.6474358974358975,0.8214285714285714,0.5054945054945055,0.6258503401360545,0.6758241758241759
35,11,19,8,47,5,49,33,0.7164179104477612,0.9038461538461539,0.5875,0.7121212121212122,0.7474537037037037
40,12,22,10,42,8,40,27,0.7008547008547008,0.84,0.6086956521739131,0.7058823529411765,0.7210144927536233
45,12,17,5,32,5,36,31,0.6538461538461539,0.8648648648648649,0.5079365079365079,0.64,0.6929926442121563
50,11,17,6,28,6,32,28,0.6382978723404256,0.8235294117647058,0.5,0.6222222222222222,0.6710526315789473
55,12,15,3,28,2,33,22,0.7176470588235294,0.9333333333333333,0.56,0.7,0.7514285714285714
60,13,14,1,25,8,26,19,0.6538461538461539,0.7575757575757576,0.5681818181818182,0.6493506493506493,0.6664438502673797
65,12,15,3,22,3,28,19,0.6944444444444444,0.88,0.5365853658536586,0.6666666666666666,0.7199055861526358
70,10,14,4,21,4,22,20,0.6417910447761194,0.84,0.5121951219512195,0.6363636363636364,0.6791744840525329
75,13,13,0,17,6,22,18,0.6190476190476191,0.7391304347826086,0.4857142857142857,0.5862068965517241,0.6357142857142857
80,11,11,0,22,4,21,12,0.7288135593220338,0.8461538461538461,0.6470588235294118,0.7333333333333333,0.7435294117647059
