Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,17,42,25,136,110,501,194,0.6769394261424017,0.5528455284552846,0.4121212121212121,0.4722222222222222,0.6160442394484947
10,17,37,20,68,56,250,97,0.6751592356687898,0.5483870967741935,0.4121212121212121,0.47058823529411764,0.6145573380867498
15,15,31,16,44,40,165,65,0.6656050955414012,0.5238095238095238,0.4036697247706422,0.45595854922279794,0.604273886775565
20,16,30,14,35,32,124,45,0.673728813559322,0.5223880597014925,0.4375,0.47619047619047616,0.6161858974358974
25,15,24,9,20,22,101,46,0.6402116402116402,0.47619047619047616,0.30303030303030304,0.37037037037037035,0.5620842572062085
30,15,26,11,22,22,81,32,0.6560509554140127,0.5,0.4074074074074074,0.4489795918367347,0.5969075871988493
35,15,24,9,18,15,76,26,0.6962962962962963,0.5454545454545454,0.4090909090909091,0.4675324675324675,0.6221278721278721
40,13,19,6,8,21,56,33,0.5423728813559322,0.27586206896551724,0.1951219512195122,0.22857142857142856,0.4611973392461197
45,12,18,6,10,12,57,26,0.638095238095238,0.45454545454545453,0.2777777777777778,0.3448275862068966,0.5519323671497585
50,14,17,3,10,15,48,22,0.6105263157894737,0.4,0.3125,0.3508771929824561,0.5372023809523809
