Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,35,35,0,185,752,0,0.8025613660618997,0.0,0.0,0.0,0.8025613660618997
10,0,27,27,0,100,369,0,0.7867803837953091,0.0,0.0,0.0,0.7867803837953091
15,0,23,23,0,64,249,0,0.7955271565495208,0.0,0.0,0.0,0.7955271565495208
20,0,24,24,0,50,185,0,0.7872340425531915,0.0,0.0,0.0,0.7872340425531915
25,0,16,16,0,38,150,0,0.7978723404255319,0.0,0.0,0.0,0.7978723404255319
30,0,21,21,0,39,118,0,0.7515923566878981,0.0,0.0,0.0,0.7515923566878981
35,0,20,20,0,35,99,0,0.7388059701492538,0.0,0.0,0.0,0.7388059701492538
40,0,19,19,0,36,82,0,0.6949152542372882,0.0,0.0,0.0,0.6949152542372882
45,0,21,21,0,35,70,0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
50,0,8,8,0,17,77,0,0.8191489361702128,0.0,0.0,0.0,0.8191489361702128
55,0,12,12,0,19,67,0,0.7790697674418605,0.0,0.0,0.0,0.7790697674418605
60,0,13,13,0,23,56,0,0.7088607594936709,0.0,0.0,0.0,0.7088607594936709
65,0,13,13,0,21,52,0,0.7123287671232876,0.0,0.0,0.0,0.7123287671232876
70,0,10,10,0,16,51,0,0.7611940298507462,0.0,0.0,0.0,0.7611940298507462
