falha_detectada,inicio_idx,fim_idx,inicio,fim,duracao_pts,valor_constante
stuck,240,275,2023-10-08 16:00:00,2023-10-08 21:50:00,36,2.5833333333333335
stuck,353,380,2023-10-09 10:50:00,2023-10-09 15:20:00,28,3.0
stuck,769,794,2023-10-12 08:10:00,2023-10-12 12:20:00,26,2.0
stuck,1628,1658,2023-10-18 07:20:00,2023-10-18 12:20:00,31,2.0
stuck,2452,2483,2023-10-24 00:40:00,2023-10-24 05:50:00,32,5.0
stuck,3047,3076,2023-10-28 03:50:00,2023-10-28 08:40:00,30,46.34941687846149
stuck,3937,3978,2023-11-03 08:10:00,2023-11-03 15:00:00,42,1.0
stuck,4075,4124,2023-11-04 07:10:00,2023-11-04 15:20:00,50,1.0
stuck,4372,4422,2023-11-06 08:40:00,2023-11-06 17:00:00,51,1.0
stuck,4512,4548,2023-11-07 08:00:00,2023-11-07 14:00:00,37,1.0
stuck,4642,4701,2023-11-08 05:40:00,2023-11-08 15:30:00,60,1.0
