falha_detectada,inicio_idx,fim_idx,inicio,fim,duracao_pts,valor_constante
stuck_at_zero,217,244,2023-10-08 12:10:00,2023-10-08 16:40:00,28,0.0
stuck_at_zero,2033,2064,2023-10-21 02:50:00,2023-10-21 08:00:00,32,0.0
stuck_at_zero,2125,2158,2023-10-21 18:10:00,2023-10-21 23:40:00,34,0.0
stuck_at_zero,2350,2386,2023-10-23 07:40:00,2023-10-23 13:40:00,37,0.0
stuck_at_zero,3523,3558,2023-10-31 11:10:00,2023-10-31 17:00:00,36,0.0
stuck_at_zero,3937,3978,2023-11-03 08:10:00,2023-11-03 15:00:00,42,0.0
stuck_at_zero,4075,4124,2023-11-04 07:10:00,2023-11-04 15:20:00,50,0.0
stuck_at_zero,4372,4422,2023-11-06 08:40:00,2023-11-06 17:00:00,51,0.0
stuck_at_zero,4512,4548,2023-11-07 08:00:00,2023-11-07 14:00:00,37,0.0
stuck_at_zero,4642,4701,2023-11-08 05:40:00,2023-11-08 15:30:00,60,0.0
