evento_id,falha,inicio_idx,fim_idx,inicio,fim,duracao_pts,valor_injetado,detectado,indice_deteccao_pos,variavel,falha_avaliada
lacuna_01,lacuna,223,234,2023-10-08 13:10:00,2023-10-08 15:00:00,12,,True,0,"MP2,5_1",lacuna
lacuna_02,lacuna,850,855,2023-10-12 21:40:00,2023-10-12 22:30:00,6,,True,1,"MP2,5_1",lacuna
lacuna_03,lacuna,1166,1174,2023-10-15 02:20:00,2023-10-15 03:40:00,9,,True,2,"MP2,5_1",lacuna
lacuna_04,lacuna,2218,2223,2023-10-22 09:40:00,2023-10-22 10:30:00,6,,True,3,"MP2,5_1",lacuna
lacuna_05,lacuna,4542,4553,2023-11-07 13:00:00,2023-11-07 14:50:00,12,,True,4,"MP2,5_1",lacuna
stuck_01,stuck,113,144,2023-10-07 18:50:00,2023-10-08 00:00:00,32,3.1538461538461537,True,0,"MP2,5_1",stuck
stuck_02,stuck,1174,1198,2023-10-15 03:40:00,2023-10-15 07:40:00,25,1.0,True,1,"MP2,5_1",stuck
stuck_03,stuck,1455,1488,2023-10-17 02:30:00,2023-10-17 08:00:00,34,4.0,True,2,"MP2,5_1",stuck
stuck_04,stuck,2643,2678,2023-10-25 08:30:00,2023-10-25 14:20:00,36,1.0,True,4,"MP2,5_1",stuck
stuck_05,stuck,4084,4118,2023-11-04 08:40:00,2023-11-04 14:20:00,35,1.0,True,5,"MP2,5_1",stuck
stuck_at_zero_01,stuck_at_zero,217,244,2023-10-08 12:10:00,2023-10-08 16:40:00,28,0.0,True,0,"MP2,5_1",stuck_at_zero
stuck_at_zero_02,stuck_at_zero,2033,2063,2023-10-21 02:50:00,2023-10-21 07:50:00,31,0.0,True,1,"MP2,5_1",stuck_at_zero
stuck_at_zero_03,stuck_at_zero,2125,2158,2023-10-21 18:10:00,2023-10-21 23:40:00,34,0.0,True,2,"MP2,5_1",stuck_at_zero
stuck_at_zero_04,stuck_at_zero,2360,2386,2023-10-23 09:20:00,2023-10-23 13:40:00,27,0.0,True,3,"MP2,5_1",stuck_at_zero
stuck_at_zero_05,stuck_at_zero,3523,3558,2023-10-31 11:10:00,2023-10-31 17:00:00,36,0.0,True,4,"MP2,5_1",stuck_at_zero
lacuna_01,lacuna,1041,1051,2023-10-14 05:30:00,2023-10-14 07:10:00,11,,True,0,MP10_1,lacuna
lacuna_02,lacuna,1436,1444,2023-10-16 23:20:00,2023-10-17 00:40:00,9,,True,1,MP10_1,lacuna
lacuna_03,lacuna,2459,2470,2023-10-24 01:50:00,2023-10-24 03:40:00,12,,True,2,MP10_1,lacuna
lacuna_04,lacuna,4019,4030,2023-11-03 21:50:00,2023-11-03 23:40:00,12,,True,3,MP10_1,lacuna
lacuna_05,lacuna,4668,4673,2023-11-08 10:00:00,2023-11-08 10:50:00,6,,True,4,MP10_1,lacuna
stuck_01,stuck,240,275,2023-10-08 16:00:00,2023-10-08 21:50:00,36,2.5833333333333335,True,0,MP10_1,stuck
