variavel,rodada,cenario,base,falha,quantidade_eventos
MP10_1,1,com_erro,teste,lacuna,25
MP10_1,1,com_erro,teste,oscilacao,27
MP10_1,1,com_erro,teste,queda,25
MP10_1,1,com_erro,treino,lacuna,27
MP10_1,1,com_erro,treino,oscilacao,28
MP10_1,1,com_erro,treino,queda,25
MP10_1,1,sem_erro,treino,lacuna,28
MP10_1,1,sem_erro,treino,oscilacao,29
MP10_1,1,sem_erro,treino,queda,26
MP10_1,2,com_erro,teste,lacuna,22
MP10_1,2,com_erro,teste,oscilacao,23
MP10_1,2,com_erro,teste,queda,30
MP10_1,2,com_erro,treino,lacuna,24
MP10_1,2,com_erro,treino,oscilacao,23
MP10_1,2,com_erro,treino,queda,27
MP10_1,2,sem_erro,treino,lacuna,25
MP10_1,2,sem_erro,treino,oscilacao,24
MP10_1,2,sem_erro,treino,queda,28
MP10_1,3,com_erro,teste,lacuna,29
MP10_1,3,com_erro,teste,oscilacao,30
MP10_1,3,com_erro,teste,queda,24
MP10_1,3,com_erro,treino,lacuna,26
MP10_1,3,com_erro,treino,oscilacao,26
MP10_1,3,com_erro,treino,queda,25
MP10_1,3,sem_erro,treino,lacuna,27
MP10_1,3,sem_erro,treino,oscilacao,27
MP10_1,3,sem_erro,treino,queda,26
MP10_1,4,com_erro,teste,lacuna,30
MP10_1,4,com_erro,teste,oscilacao,31
MP10_1,4,com_erro,teste,queda,31
MP10_1,4,com_erro,treino,lacuna,22
MP10_1,4,com_erro,treino,oscilacao,28
MP10_1,4,com_erro,treino,queda,28
MP10_1,4,sem_erro,treino,lacuna,23
MP10_1,4,sem_erro,treino,oscilacao,29
MP10_1,4,sem_erro,treino,queda,29
MP10_1,5,com_erro,teste,lacuna,27
MP10_1,5,com_erro,teste,oscilacao,26
MP10_1,5,com_erro,teste,queda,30
MP10_1,5,com_erro,treino,lacuna,22
MP10_1,5,com_erro,treino,oscilacao,20
MP10_1,5,com_erro,treino,queda,24
MP10_1,5,sem_erro,treino,lacuna,23
MP10_1,5,sem_erro,treino,oscilacao,21
MP10_1,5,sem_erro,treino,queda,25
