Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,14,14,0,23,918,0,0.975557917109458,0.0,0.0,0.0,0.975557917109458
10,0,8,8,0,21,450,0,0.9554140127388535,0.0,0.0,0.0,0.9554140127388535
15,0,6,6,0,16,298,0,0.9490445859872612,0.0,0.0,0.0,0.9490445859872612
20,0,6,6,0,23,213,0,0.902542372881356,0.0,0.0,0.0,0.902542372881356
25,0,3,3,0,3,186,0,0.9841269841269841,0.0,0.0,0.0,0.9841269841269841
30,0,5,5,0,19,138,0,0.8789808917197452,0.0,0.0,0.0,0.8789808917197452
35,0,0,0,0,0,135,0,1.0,0.0,0.0,0.0,1.0
40,0,7,7,0,18,100,0,0.847457627118644,0.0,0.0,0.0,0.847457627118644
45,0,6,6,0,10,95,0,0.9047619047619048,0.0,0.0,0.0,0.9047619047619048
50,0,4,4,0,9,86,0,0.9052631578947369,0.0,0.0,0.0,0.9052631578947369
