Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,0,0,0,0,933,0,1.0,0.0,0.0,0.0,1.0
10,0,0,0,0,0,467,0,1.0,0.0,0.0,0.0,1.0
15,0,0,0,0,0,311,0,1.0,0.0,0.0,0.0,1.0
20,0,6,6,0,8,226,0,0.9658119658119658,0.0,0.0,0.0,0.9658119658119658
25,0,2,2,0,20,167,0,0.893048128342246,0.0,0.0,0.0,0.893048128342246
30,0,0,0,0,0,156,0,1.0,0.0,0.0,0.0,1.0
35,0,1,1,0,13,121,0,0.9029850746268657,0.0,0.0,0.0,0.9029850746268657
40,0,0,0,0,0,117,0,1.0,0.0,0.0,0.0,1.0
45,0,5,5,0,5,99,0,0.9519230769230769,0.0,0.0,0.0,0.9519230769230769
50,0,4,4,0,15,79,0,0.8404255319148937,0.0,0.0,0.0,0.8404255319148937
55,0,1,1,0,1,84,0,0.9882352941176471,0.0,0.0,0.0,0.9882352941176471
60,0,0,0,0,0,78,0,1.0,0.0,0.0,0.0,1.0
65,0,2,2,0,5,67,0,0.9305555555555556,0.0,0.0,0.0,0.9305555555555556
70,0,3,3,0,6,61,0,0.9104477611940298,0.0,0.0,0.0,0.9104477611940298
75,0,6,6,0,15,48,0,0.7619047619047619,0.0,0.0,0.0,0.7619047619047619
80,0,1,1,0,7,52,0,0.8813559322033898,0.0,0.0,0.0,0.8813559322033898
85,0,1,1,0,4,51,0,0.9272727272727272,0.0,0.0,0.0,0.9272727272727272
90,0,8,8,0,19,33,0,0.6346153846153846,0.0,0.0,0.0,0.6346153846153846
