teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos
com_erro,catboost,lacuna,20,5,5,947,947,270,677,284,663,25,25,0,1.0,1.0,1.0,1.0,1.0,0.9999999999984918,663,0,0,284,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_catboost_lacuna_jan20_passo5_eventos.png
com_erro,catboost,oscilacao,80,60,60,78,78,46,32,50,28,12,12,0,0.8974358974358975,0.8885714285714286,0.92,0.92,0.92,0.8571428571122449,24,4,4,46,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_catboost_oscilacao_jan80_passo60_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_catboost_oscilacao_jan80_passo60_eventos.png
com_erro,catboost,queda,100,65,65,72,72,38,34,34,38,12,12,0,0.9583333333333334,0.9605263157894737,0.918918918918919,1.0,0.9577464788732394,0.9210526315547092,35,3,0,34,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_catboost_queda_jan100_passo65_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_catboost_queda_jan100_passo65_eventos.png
com_erro,mlp,lacuna,20,20,20,237,237,65,172,68,169,23,23,0,0.9831223628691983,0.9705882352941176,1.0,0.9411764705882353,0.9696969696969697,0.999999999994083,169,0,4,64,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_mlp_lacuna_jan20_passo20_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_mlp_lacuna_jan20_passo20_eventos.png
com_erro,mlp,oscilacao,50,50,50,95,95,46,49,47,48,16,16,0,0.9263157894736842,0.9259751773049645,0.9545454545454546,0.8936170212765957,0.9230769230769231,0.9583333333133681,46,2,5,42,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_mlp_oscilacao_jan50_passo50_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_mlp_oscilacao_jan50_passo50_eventos.png
com_erro,mlp,queda,100,70,70,67,67,38,29,32,35,13,13,0,0.8656716417910447,0.86875,0.8108108108108109,0.9375,0.8695652173913043,0.7999999999771429,28,7,2,30,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_mlp_queda_jan100_passo70_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_mlp_queda_jan100_passo70_eventos.png
com_erro,random_forest,lacuna,20,5,5,947,947,270,677,284,663,25,25,0,1.0,1.0,1.0,1.0,1.0,0.9999999999984918,663,0,0,284,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_random_forest_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_random_forest_lacuna_jan20_passo5_eventos.png
com_erro,random_forest,oscilacao,50,25,25,189,189,89,100,100,89,17,17,0,0.9206349206349206,0.9219101123595506,0.9473684210526315,0.9,0.9230769230769231,0.9438202247084964,84,5,10,90,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_random_forest_oscilacao_jan50_passo25_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_random_forest_oscilacao_jan50_passo25_eventos.png
com_erro,random_forest,queda,90,10,10,467,467,235,232,223,244,15,15,0,0.8907922912205567,0.8927901933397044,0.8495934959349594,0.9372197309417041,0.8912579957356077,0.848360655734228,207,37,14,209,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_random_forest_queda_jan90_passo10_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_random_forest_queda_jan90_passo10_eventos.png
com_erro,xgboost,lacuna,20,5,5,947,947,270,677,284,663,25,25,0,1.0,1.0,1.0,1.0,1.0,0.9999999999984918,663,0,0,284,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_xgboost_lacuna_jan20_passo5_eventos.png
com_erro,xgboost,oscilacao,100,75,75,63,63,38,25,45,18,10,10,0,0.9206349206349206,0.8944444444444445,0.9347826086956522,0.9555555555555556,0.945054945054945,0.8333333332870371,15,3,2,43,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_xgboost_oscilacao_jan100_passo75_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_xgboost_oscilacao_jan100_passo75_eventos.png
com_erro,xgboost,queda,100,65,65,72,72,38,34,34,38,12,12,0,0.8888888888888888,0.8947368421052632,0.8095238095238095,1.0,0.8947368421052632,0.7894736841897507,30,8,0,34,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_xgboost_queda_jan100_passo65_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP10_1\rodada_3\com_erro\MP10_1_20231007_0000_to_20231109_0000_rodada_3_com_erro_xgboost_queda_jan100_passo65_eventos.png
