evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-11-07 20:50:00,2023-11-08 08:40:00,72.0
oscilacao_002,oscilacao,2023-11-03 22:50:00,2023-11-04 06:00:00,44.0
oscilacao_003,oscilacao,2023-10-10 09:30:00,2023-10-10 15:30:00,37.0
oscilacao_004,oscilacao,2023-10-26 20:30:00,2023-10-27 02:50:00,39.0
oscilacao_005,oscilacao,2023-10-28 23:50:00,2023-10-29 10:50:00,67.0
oscilacao_006,oscilacao,2023-10-23 03:30:00,2023-10-23 12:20:00,54.0
oscilacao_007,oscilacao,2023-10-29 16:00:00,2023-10-29 23:50:00,48.0
oscilacao_008,oscilacao,2023-10-16 09:20:00,2023-10-16 16:00:00,41.0
oscilacao_009,oscilacao,2023-10-15 08:10:00,2023-10-15 19:30:00,69.0
oscilacao_010,oscilacao,2023-11-04 06:10:00,2023-11-04 16:40:00,64.0
oscilacao_011,oscilacao,2023-10-15 19:40:00,2023-10-16 06:00:00,63.0
oscilacao_012,oscilacao,2023-10-31 16:10:00,2023-10-31 22:40:00,40.0
oscilacao_013,oscilacao,2023-10-22 12:20:00,2023-10-22 19:50:00,46.0
oscilacao_014,oscilacao,2023-10-11 13:50:00,2023-10-12 00:50:00,67.0
oscilacao_015,oscilacao,2023-10-09 20:10:00,2023-10-10 05:00:00,54.0
oscilacao_016,oscilacao,2023-10-18 22:20:00,2023-10-19 05:30:00,44.0
oscilacao_017,oscilacao,2023-10-13 02:30:00,2023-10-13 13:10:00,65.0
oscilacao_018,oscilacao,2023-11-01 00:30:00,2023-11-01 06:50:00,39.0
oscilacao_019,oscilacao,2023-10-24 18:10:00,2023-10-25 01:10:00,43.0
oscilacao_020,oscilacao,2023-11-02 11:40:00,2023-11-02 19:30:00,48.0
oscilacao_021,oscilacao,2023-10-08 09:20:00,2023-10-08 16:30:00,44.0
oscilacao_022,oscilacao,2023-10-28 00:40:00,2023-10-28 12:10:00,70.0
oscilacao_023,oscilacao,2023-10-11 04:10:00,2023-10-11 11:50:00,47.0
oscilacao_024,oscilacao,2023-10-20 07:40:00,2023-10-20 15:20:00,47.0
oscilacao_025,oscilacao,2023-11-03 05:40:00,2023-11-03 15:00:00,57.0
oscilacao_026,oscilacao,2023-10-08 01:00:00,2023-10-08 09:10:00,50.0
oscilacao_027,oscilacao,2023-10-21 07:30:00,2023-10-21 16:40:00,56.0
oscilacao_028,oscilacao,2023-10-12 01:00:00,2023-10-12 12:10:00,68.0
oscilacao_029,oscilacao,2023-11-01 07:00:00,2023-11-01 14:10:00,44.0
lacuna_001,lacuna,2023-10-08 20:40:00,2023-10-09 01:10:00,28.0
lacuna_002,lacuna,2023-10-30 02:10:00,2023-10-30 06:20:00,26.0
lacuna_003,lacuna,2023-10-25 12:40:00,2023-10-25 19:30:00,42.0
lacuna_004,lacuna,2023-10-24 13:40:00,2023-10-24 18:00:00,27.0
lacuna_005,lacuna,2023-11-04 22:10:00,2023-11-05 03:30:00,33.0
lacuna_006,lacuna,2023-10-30 16:00:00,2023-10-30 21:10:00,32.0
lacuna_007,lacuna,2023-11-07 01:00:00,2023-11-07 06:30:00,34.0
lacuna_008,lacuna,2023-10-18 15:30:00,2023-10-18 22:10:00,41.0
lacuna_009,lacuna,2023-10-10 16:20:00,2023-10-10 22:30:00,38.0
lacuna_010,lacuna,2023-10-20 21:20:00,2023-10-21 05:00:00,47.0
lacuna_011,lacuna,2023-10-23 12:30:00,2023-10-23 17:00:00,28.0
lacuna_012,lacuna,2023-11-02 05:20:00,2023-11-02 11:30:00,38.0
lacuna_013,lacuna,2023-10-12 19:10:00,2023-10-13 02:20:00,44.0
lacuna_014,lacuna,2023-10-17 06:10:00,2023-10-17 12:10:00,37.0
lacuna_015,lacuna,2023-10-21 20:40:00,2023-10-22 01:30:00,30.0
lacuna_016,lacuna,2023-10-16 23:50:00,2023-10-17 06:00:00,38.0
lacuna_017,lacuna,2023-10-22 07:00:00,2023-10-22 12:10:00,32.0
lacuna_018,lacuna,2023-10-28 17:50:00,2023-10-28 22:40:00,30.0
lacuna_019,lacuna,2023-10-19 05:40:00,2023-10-19 09:30:00,24.0
lacuna_020,lacuna,2023-10-19 09:40:00,2023-10-19 17:30:00,48.0
lacuna_021,lacuna,2023-11-01 21:50:00,2023-11-02 05:10:00,45.0
lacuna_022,lacuna,2023-11-02 19:40:00,2023-11-03 01:10:00,34.0
lacuna_023,lacuna,2023-11-05 09:20:00,2023-11-05 13:30:00,26.0
lacuna_024,lacuna,2023-10-14 03:10:00,2023-10-14 08:00:00,30.0
lacuna_025,lacuna,2023-10-07 07:10:00,2023-10-07 13:40:00,40.0
lacuna_026,lacuna,2023-10-23 17:10:00,2023-10-24 00:10:00,43.0
lacuna_027,lacuna,2023-10-18 05:40:00,2023-10-18 09:50:00,26.0
lacuna_028,lacuna,2023-10-31 08:10:00,2023-10-31 12:40:00,28.0
queda_001,queda,2023-10-24 10:00:00,2023-10-24 13:30:00,22.0
queda_002,queda,2023-11-06 19:00:00,2023-11-06 23:10:00,26.0
queda_003,queda,2023-10-10 23:50:00,2023-10-11 04:00:00,26.0
queda_004,queda,2023-10-31 02:50:00,2023-10-31 08:00:00,32.0
queda_005,queda,2023-10-20 02:50:00,2023-10-20 07:30:00,29.0
queda_006,queda,2023-10-17 12:20:00,2023-10-17 16:20:00,25.0
queda_007,queda,2023-10-30 08:40:00,2023-10-30 14:20:00,35.0
queda_008,queda,2023-10-25 03:00:00,2023-10-25 08:20:00,33.0
queda_009,queda,2023-11-05 17:00:00,2023-11-05 22:00:00,31.0
queda_010,queda,2023-10-17 16:30:00,2023-10-17 21:20:00,30.0
queda_011,queda,2023-10-20 16:00:00,2023-10-20 21:10:00,32.0
queda_012,queda,2023-10-26 14:30:00,2023-10-26 19:40:00,32.0
queda_013,queda,2023-10-25 19:40:00,2023-10-26 00:50:00,32.0
queda_014,queda,2023-10-15 04:00:00,2023-10-15 08:00:00,25.0
queda_015,queda,2023-10-13 13:20:00,2023-10-13 17:50:00,28.0
queda_016,queda,2023-10-12 15:50:00,2023-10-12 19:00:00,20.0
queda_017,queda,2023-11-06 14:40:00,2023-11-06 18:50:00,26.0
queda_018,queda,2023-10-14 22:00:00,2023-10-15 03:50:00,36.0
queda_019,queda,2023-11-01 17:40:00,2023-11-01 21:40:00,25.0
queda_020,queda,2023-10-27 16:10:00,2023-10-27 21:20:00,32.0
queda_021,queda,2023-10-26 11:00:00,2023-10-26 14:20:00,21.0
queda_022,queda,2023-10-09 09:00:00,2023-10-09 12:40:00,23.0
queda_023,queda,2023-10-22 20:00:00,2023-10-22 22:50:00,18.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
