Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,12,33,21,568,52,221,90,0.8474758324382384,0.9161290322580645,0.8632218844984803,0.8888888888888888,0.8363728470111449
10,12,26,14,280,28,108,50,0.8326180257510729,0.9090909090909091,0.8484848484848485,0.877742946708464,0.821301247771836
15,12,20,8,184,11,81,35,0.8520900321543409,0.9435897435897436,0.8401826484018264,0.8888888888888888,0.8603087155052611
20,12,17,5,136,11,57,29,0.8283261802575107,0.9251700680272109,0.8242424242424242,0.8717948717948718,0.8312388591800357
25,12,18,6,107,6,52,22,0.8502673796791443,0.9469026548672567,0.8294573643410853,0.8842975206611571,0.8630045442395082
30,12,14,2,87,3,42,24,0.8269230769230769,0.9666666666666667,0.7837837837837838,0.8656716417910447,0.8585585585585586
35,11,18,7,79,7,33,14,0.8421052631578947,0.9186046511627907,0.8494623655913979,0.88268156424581,0.8372311827956989
40,11,17,6,66,11,24,16,0.7692307692307693,0.8571428571428571,0.8048780487804879,0.8301886792452831,0.7452961672473868
45,11,15,4,57,1,31,15,0.8461538461538461,0.9827586206896551,0.7916666666666666,0.8769230769230769,0.8802083333333333
50,11,14,3,52,3,29,10,0.8617021276595744,0.9454545454545454,0.8387096774193549,0.8888888888888888,0.8724798387096775
55,10,15,5,50,6,17,12,0.788235294117647,0.8928571428571429,0.8064516129032258,0.847457627118644,0.7727910238429172
60,9,14,5,41,0,20,17,0.782051282051282,1.0,0.7068965517241379,0.8282828282828283,0.853448275862069
65,10,12,2,41,4,18,9,0.8194444444444444,0.9111111111111111,0.82,0.8631578947368421,0.8190909090909091
70,9,12,3,40,7,13,7,0.7910447761194029,0.851063829787234,0.851063829787234,0.851063829787234,0.750531914893617
75,10,11,1,36,2,16,9,0.8253968253968254,0.9473684210526315,0.8,0.8674698795180723,0.8444444444444444
80,7,9,2,37,4,12,6,0.8305084745762712,0.9024390243902439,0.8604651162790697,0.8809523809523809,0.8052325581395349
85,10,12,2,30,2,15,8,0.8181818181818182,0.9375,0.7894736842105263,0.8571428571428571,0.8359133126934984
90,10,11,1,28,2,15,7,0.8269230769230769,0.9333333333333333,0.8,0.8615384615384616,0.8411764705882353
95,9,11,2,29,2,15,3,0.8979591836734694,0.9354838709677419,0.90625,0.9206349206349206,0.8943014705882353
100,11,13,2,26,0,17,4,0.9148936170212766,1.0,0.8666666666666667,0.9285714285714286,0.9333333333333333
