Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,12,16,4,609,66,207,49,0.8764769065520945,0.9022222222222223,0.925531914893617,0.913728432108027,0.8418868365676876
10,12,19,7,301,33,104,28,0.869098712446352,0.9011976047904192,0.9148936170212766,0.9079939668174962,0.8370088523062587
15,12,14,2,201,22,72,16,0.8778135048231511,0.9013452914798207,0.9262672811059908,0.9136363636363637,0.8461123639572508
20,12,14,2,150,13,55,15,0.8798283261802575,0.9202453987730062,0.9090909090909091,0.9146341463414634,0.8589572192513368
25,11,9,-2,120,12,43,12,0.8716577540106952,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8454545454545455
30,10,11,1,101,13,34,8,0.8653846153846154,0.8859649122807017,0.926605504587156,0.905829596412556,0.8250048799531524
35,10,11,1,82,11,30,10,0.8421052631578947,0.8817204301075269,0.8913043478260869,0.8864864864864865,0.8115058324496288
40,11,11,0,76,8,27,6,0.8803418803418803,0.9047619047619048,0.926829268292683,0.9156626506024096,0.8491289198606272
45,12,11,-1,66,8,25,5,0.875,0.8918918918918919,0.9295774647887324,0.9103448275862069,0.8435766111822449
50,11,8,-3,56,6,21,11,0.8191489361702128,0.9032258064516129,0.835820895522388,0.8682170542635659,0.806799336650083
55,10,11,1,53,4,20,8,0.8588235294117647,0.9298245614035088,0.8688524590163934,0.8983050847457628,0.8510928961748634
60,8,10,2,48,7,17,6,0.8333333333333334,0.8727272727272727,0.8888888888888888,0.8807339449541285,0.7986111111111112
65,8,10,2,46,4,18,4,0.8888888888888888,0.92,0.92,0.92,0.8690909090909091
70,9,8,-1,41,5,16,5,0.8507462686567164,0.8913043478260869,0.8913043478260869,0.8913043478260869,0.8266045548654244
75,9,10,1,39,4,14,6,0.8412698412698413,0.9069767441860465,0.8666666666666667,0.8863636363636364,0.8222222222222222
80,10,8,-2,37,7,10,5,0.7966101694915254,0.8409090909090909,0.8809523809523809,0.8604651162790697,0.7345938375350141
85,9,9,0,33,6,13,3,0.8363636363636363,0.8461538461538461,0.9166666666666666,0.88,0.8004385964912281
90,9,9,0,32,5,12,3,0.8461538461538461,0.8648648648648649,0.9142857142857143,0.8888888888888888,0.8100840336134454
95,8,6,-2,33,7,7,2,0.8163265306122449,0.825,0.9428571428571428,0.88,0.7214285714285714
100,8,6,-2,30,3,9,5,0.8297872340425532,0.9090909090909091,0.8571428571428571,0.8823529411764706,0.8035714285714286
