Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,13,13,0,160,777,0,0.8292422625400213,0.0,0.0,0.0,0.8292422625400213
10,0,14,14,0,74,395,0,0.8422174840085288,0.0,0.0,0.0,0.8422174840085288
15,0,10,10,0,47,266,0,0.8498402555910544,0.0,0.0,0.0,0.8498402555910544
20,0,9,9,0,44,191,0,0.8127659574468085,0.0,0.0,0.0,0.8127659574468085
25,0,8,8,0,27,161,0,0.8563829787234043,0.0,0.0,0.0,0.8563829787234043
30,0,7,7,0,30,127,0,0.8089171974522293,0.0,0.0,0.0,0.8089171974522293
35,0,5,5,0,18,116,0,0.8656716417910447,0.0,0.0,0.0,0.8656716417910447
40,0,7,7,0,25,93,0,0.788135593220339,0.0,0.0,0.0,0.788135593220339
45,0,4,4,0,11,94,0,0.8952380952380953,0.0,0.0,0.0,0.8952380952380953
50,0,4,4,0,16,78,0,0.8297872340425532,0.0,0.0,0.0,0.8297872340425532
55,0,10,10,0,25,61,0,0.7093023255813954,0.0,0.0,0.0,0.7093023255813954
60,0,6,6,0,18,61,0,0.7721518987341772,0.0,0.0,0.0,0.7721518987341772
65,0,4,4,0,9,64,0,0.8767123287671232,0.0,0.0,0.0,0.8767123287671232
70,0,2,2,0,6,61,0,0.9104477611940298,0.0,0.0,0.0,0.9104477611940298
