Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,21,21,0,41,900,0,0.9564293304994687,0.0,0.0,0.0,0.9564293304994687
10,0,9,9,0,18,453,0,0.9617834394904459,0.0,0.0,0.0,0.9617834394904459
15,0,18,18,0,28,286,0,0.910828025477707,0.0,0.0,0.0,0.910828025477707
20,0,12,12,0,20,216,0,0.9152542372881356,0.0,0.0,0.0,0.9152542372881356
25,0,6,6,0,11,178,0,0.9417989417989417,0.0,0.0,0.0,0.9417989417989417
30,0,8,8,0,13,144,0,0.9171974522292994,0.0,0.0,0.0,0.9171974522292994
35,0,4,4,0,7,128,0,0.9481481481481482,0.0,0.0,0.0,0.9481481481481482
40,0,2,2,0,4,114,0,0.9661016949152542,0.0,0.0,0.0,0.9661016949152542
45,0,9,9,0,13,92,0,0.8761904761904762,0.0,0.0,0.0,0.8761904761904762
50,0,5,5,0,10,85,0,0.8947368421052632,0.0,0.0,0.0,0.8947368421052632
