Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,1,1,0,26,915,0,0.9723698193411264,0.0,0.0,0.0,0.9723698193411264
10,0,1,1,0,13,458,0,0.9723991507430998,0.0,0.0,0.0,0.9723991507430998
15,0,2,2,0,8,306,0,0.9745222929936306,0.0,0.0,0.0,0.9745222929936306
20,0,1,1,0,5,231,0,0.9788135593220338,0.0,0.0,0.0,0.9788135593220338
25,0,1,1,0,5,184,0,0.9735449735449735,0.0,0.0,0.0,0.9735449735449735
30,0,1,1,0,3,154,0,0.9808917197452229,0.0,0.0,0.0,0.9808917197452229
35,0,1,1,0,3,132,0,0.9777777777777777,0.0,0.0,0.0,0.9777777777777777
40,0,4,4,0,4,114,0,0.9661016949152542,0.0,0.0,0.0,0.9661016949152542
45,0,1,1,0,3,102,0,0.9714285714285714,0.0,0.0,0.0,0.9714285714285714
50,0,1,1,0,2,93,0,0.9789473684210527,0.0,0.0,0.0,0.9789473684210527
