evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-17 17:30:00,2023-10-18 03:40:00,62
oscilacao_002,oscilacao,2023-10-16 23:50:00,2023-10-17 07:10:00,45
oscilacao_003,oscilacao,2023-10-21 02:20:00,2023-10-21 08:50:00,40
oscilacao_004,oscilacao,2023-10-20 08:10:00,2023-10-20 18:50:00,65
oscilacao_005,oscilacao,2023-10-09 08:00:00,2023-10-09 19:30:00,70
oscilacao_006,oscilacao,2023-10-21 21:10:00,2023-10-22 07:50:00,65
oscilacao_007,oscilacao,2023-10-08 09:00:00,2023-10-08 15:30:00,40
oscilacao_008,oscilacao,2023-10-13 23:10:00,2023-10-14 05:50:00,41
oscilacao_009,oscilacao,2023-10-23 03:10:00,2023-10-23 13:50:00,65
oscilacao_010,oscilacao,2023-10-12 11:40:00,2023-10-12 22:20:00,65
oscilacao_011,oscilacao,2023-11-05 10:10:00,2023-11-05 17:40:00,46
oscilacao_012,oscilacao,2023-11-03 11:00:00,2023-11-03 16:50:00,36
oscilacao_013,oscilacao,2023-10-16 06:30:00,2023-10-16 16:20:00,60
oscilacao_014,oscilacao,2023-10-13 04:10:00,2023-10-13 11:30:00,45
oscilacao_015,oscilacao,2023-10-19 19:00:00,2023-10-20 03:30:00,52
oscilacao_016,oscilacao,2023-11-02 18:10:00,2023-11-03 01:40:00,46
oscilacao_017,oscilacao,2023-10-30 10:20:00,2023-10-30 21:20:00,67
oscilacao_018,oscilacao,2023-10-28 08:20:00,2023-10-28 17:30:00,56
oscilacao_019,oscilacao,2023-10-11 19:30:00,2023-10-12 06:30:00,67
oscilacao_020,oscilacao,2023-11-06 21:30:00,2023-11-07 06:00:00,52
lacuna_001,lacuna,2023-10-26 07:00:00,2023-10-26 12:10:00,32
lacuna_002,lacuna,2023-11-04 18:20:00,2023-11-04 23:50:00,34
lacuna_003,lacuna,2023-10-21 16:10:00,2023-10-21 21:00:00,30
lacuna_004,lacuna,2023-11-02 06:40:00,2023-11-02 13:50:00,44
lacuna_005,lacuna,2023-10-10 13:00:00,2023-10-10 18:10:00,32
lacuna_006,lacuna,2023-10-13 16:00:00,2023-10-13 19:50:00,24
lacuna_007,lacuna,2023-10-09 19:40:00,2023-10-10 03:20:00,47
lacuna_008,lacuna,2023-10-28 00:50:00,2023-10-28 08:10:00,45
lacuna_009,lacuna,2023-10-26 14:00:00,2023-10-26 19:30:00,34
lacuna_010,lacuna,2023-11-01 22:40:00,2023-11-02 06:30:00,48
lacuna_011,lacuna,2023-10-31 06:50:00,2023-10-31 13:20:00,40
lacuna_012,lacuna,2023-10-14 09:50:00,2023-10-14 15:10:00,33
lacuna_013,lacuna,2023-10-24 18:00:00,2023-10-25 00:40:00,41
lacuna_014,lacuna,2023-10-10 03:30:00,2023-10-10 09:50:00,39
lacuna_015,lacuna,2023-10-08 02:20:00,2023-10-08 08:50:00,40
lacuna_016,lacuna,2023-10-18 16:30:00,2023-10-18 22:50:00,39
lacuna_017,lacuna,2023-10-20 04:10:00,2023-10-20 08:00:00,24
lacuna_018,lacuna,2023-10-24 04:10:00,2023-10-24 11:40:00,46
lacuna_019,lacuna,2023-11-07 23:10:00,2023-11-08 04:40:00,34
lacuna_020,lacuna,2023-11-02 14:00:00,2023-11-02 18:00:00,25
lacuna_021,lacuna,2023-10-11 11:30:00,2023-10-11 19:20:00,48
lacuna_022,lacuna,2023-10-17 07:20:00,2023-10-17 15:00:00,47
queda_001,queda,2023-10-16 16:30:00,2023-10-16 20:50:00,27
queda_002,queda,2023-11-08 04:50:00,2023-11-08 10:00:00,32
queda_003,queda,2023-10-18 07:50:00,2023-10-18 11:40:00,24
queda_004,queda,2023-10-25 01:10:00,2023-10-25 06:50:00,35
queda_005,queda,2023-10-20 19:00:00,2023-10-21 00:00:00,31
queda_006,queda,2023-10-18 04:10:00,2023-10-18 07:40:00,22
queda_007,queda,2023-10-29 14:50:00,2023-10-29 20:30:00,35
queda_008,queda,2023-10-09 04:00:00,2023-10-09 07:10:00,20
queda_009,queda,2023-11-01 13:00:00,2023-11-01 15:50:00,18
queda_010,queda,2023-11-03 01:50:00,2023-11-03 04:50:00,19
queda_011,queda,2023-11-05 17:50:00,2023-11-05 23:40:00,36
queda_012,queda,2023-10-24 12:00:00,2023-10-24 15:50:00,24
queda_013,queda,2023-10-19 14:10:00,2023-10-19 18:50:00,29
queda_014,queda,2023-10-29 10:20:00,2023-10-29 14:20:00,25
queda_015,queda,2023-10-12 23:30:00,2023-10-13 04:00:00,28
queda_016,queda,2023-11-04 04:20:00,2023-11-04 10:00:00,35
queda_017,queda,2023-10-30 21:30:00,2023-10-31 00:50:00,21
queda_018,queda,2023-10-28 18:30:00,2023-10-29 00:20:00,36
queda_019,queda,2023-11-01 00:30:00,2023-11-01 03:50:00,21
queda_020,queda,2023-10-29 04:50:00,2023-10-29 09:50:00,31
queda_021,queda,2023-11-07 06:50:00,2023-11-07 10:10:00,21
queda_022,queda,2023-10-11 01:30:00,2023-10-11 05:50:00,27
queda_023,queda,2023-10-27 14:20:00,2023-10-27 18:50:00,28
queda_024,queda,2023-10-09 00:30:00,2023-10-09 03:50:00,21
