Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,17,17,0,368,0,572,1,0.9989373007438895,1.0,0.997289972899729,0.9986431478968792,0.9986449864498645
10,17,17,0,181,0,289,1,0.9978768577494692,1.0,0.9945054945054945,0.9972451790633609,0.9972527472527473
15,17,17,0,121,0,190,3,0.9904458598726115,1.0,0.9758064516129032,0.9877551020408163,0.9879032258064516
20,16,17,1,91,0,143,2,0.9915254237288136,1.0,0.978494623655914,0.9891304347826086,0.989247311827957
25,16,16,0,77,0,111,1,0.9947089947089947,1.0,0.9871794871794872,0.9935483870967742,0.9935897435897436
30,15,15,0,57,0,98,2,0.9872611464968153,1.0,0.9661016949152542,0.9827586206896551,0.9830508474576272
35,15,15,0,51,0,84,0,1.0,1.0,1.0,1.0,1.0
40,15,16,1,42,0,73,3,0.9745762711864406,1.0,0.9333333333333333,0.9655172413793104,0.9666666666666667
45,14,14,0,42,0,62,1,0.9904761904761905,1.0,0.9767441860465116,0.9882352941176471,0.9883720930232558
50,15,17,2,34,0,54,7,0.9263157894736842,1.0,0.8292682926829268,0.9066666666666666,0.9146341463414633
