Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,9,9,0,36,901,0,0.9615795090715048,0.0,0.0,0.0,0.9615795090715048
10,0,4,4,0,20,449,0,0.9573560767590619,0.0,0.0,0.0,0.9573560767590619
15,0,3,3,0,15,298,0,0.952076677316294,0.0,0.0,0.0,0.952076677316294
20,0,4,4,0,6,229,0,0.9744680851063829,0.0,0.0,0.0,0.9744680851063829
25,0,3,3,0,7,181,0,0.9627659574468085,0.0,0.0,0.0,0.9627659574468085
30,0,1,1,0,2,155,0,0.9872611464968153,0.0,0.0,0.0,0.9872611464968153
35,0,2,2,0,8,126,0,0.9402985074626866,0.0,0.0,0.0,0.9402985074626866
40,0,2,2,0,3,115,0,0.9745762711864406,0.0,0.0,0.0,0.9745762711864406
45,0,1,1,0,4,101,0,0.9619047619047619,0.0,0.0,0.0,0.9619047619047619
50,0,1,1,0,1,93,0,0.9893617021276596,0.0,0.0,0.0,0.9893617021276596
55,0,1,1,0,2,84,0,0.9767441860465116,0.0,0.0,0.0,0.9767441860465116
60,0,0,0,0,0,79,0,1.0,0.0,0.0,0.0,1.0
65,0,2,2,0,3,70,0,0.958904109589041,0.0,0.0,0.0,0.958904109589041
70,0,1,1,0,8,59,0,0.8805970149253731,0.0,0.0,0.0,0.8805970149253731
