Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,25,10,402,43,418,72,0.8770053475935828,0.903370786516854,0.8481012658227848,0.8748639825897715,0.8774128888766852
10,15,25,10,201,26,204,37,0.8653846153846154,0.8854625550660793,0.8445378151260504,0.864516129032258,0.8657471684325904
15,13,27,14,129,19,137,27,0.8525641025641025,0.8716216216216216,0.8269230769230769,0.8486842105263158,0.8525641025641025
20,13,26,13,100,13,101,20,0.8589743589743589,0.8849557522123894,0.8333333333333334,0.8583690987124464,0.8596491228070176
25,13,25,12,76,13,77,21,0.8181818181818182,0.8539325842696629,0.7835051546391752,0.8172043010752689,0.8195303550973654
30,13,22,9,63,10,67,16,0.8333333333333334,0.863013698630137,0.7974683544303798,0.8289473684210527,0.8337991122801249
35,12,18,6,61,7,58,8,0.8880597014925373,0.8970588235294118,0.8840579710144928,0.8905109489051095,0.8881828316610926
40,13,15,2,52,6,51,8,0.8803418803418803,0.896551724137931,0.8666666666666667,0.8813559322033898,0.880701754385965
45,12,17,5,43,5,47,9,0.8653846153846154,0.8958333333333334,0.8269230769230769,0.86,0.8653846153846154
50,13,16,3,41,7,39,7,0.851063829787234,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8509963768115942
55,13,14,1,28,4,40,13,0.8,0.875,0.6829268292682927,0.7671232876712328,0.7960088691796009
60,11,13,2,38,3,34,3,0.9230769230769231,0.926829268292683,0.926829268292683,0.926829268292683,0.922874093605801
65,12,14,2,33,5,33,1,0.9166666666666666,0.868421052631579,0.9705882352941176,0.9166666666666666,0.9195046439628483
70,11,12,1,31,6,27,3,0.8656716417910447,0.8378378378378378,0.9117647058823529,0.8732394366197183,0.8649732620320856
75,11,12,1,27,3,28,5,0.873015873015873,0.9,0.84375,0.8709677419354839,0.8734879032258065
80,13,12,-1,24,2,27,6,0.864406779661017,0.9230769230769231,0.8,0.8571428571428571,0.8655172413793104
