evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-31 14:00:00,2023-11-01 01:10:00,68.0
oscilacao_002,oscilacao,2023-10-20 15:20:00,2023-10-20 22:00:00,41.0
oscilacao_003,oscilacao,2023-10-22 02:50:00,2023-10-22 13:20:00,64.0
oscilacao_004,oscilacao,2023-11-06 17:00:00,2023-11-07 00:40:00,47.0
oscilacao_005,oscilacao,2023-10-14 20:30:00,2023-10-15 07:50:00,69.0
oscilacao_006,oscilacao,2023-11-01 02:40:00,2023-11-01 12:00:00,57.0
oscilacao_007,oscilacao,2023-10-21 19:30:00,2023-10-22 02:40:00,44.0
oscilacao_008,oscilacao,2023-10-08 09:20:00,2023-10-08 20:40:00,69.0
oscilacao_009,oscilacao,2023-10-29 06:20:00,2023-10-29 13:50:00,46.0
oscilacao_010,oscilacao,2023-10-28 15:50:00,2023-10-29 01:40:00,60.0
oscilacao_011,oscilacao,2023-10-21 11:10:00,2023-10-21 19:20:00,50.0
oscilacao_012,oscilacao,2023-10-25 14:40:00,2023-10-25 22:40:00,49.0
oscilacao_013,oscilacao,2023-11-02 11:30:00,2023-11-02 20:00:00,52.0
oscilacao_014,oscilacao,2023-10-14 13:00:00,2023-10-14 20:20:00,45.0
oscilacao_015,oscilacao,2023-10-31 07:50:00,2023-10-31 13:50:00,37.0
oscilacao_016,oscilacao,2023-10-27 15:30:00,2023-10-27 22:00:00,40.0
oscilacao_017,oscilacao,2023-10-30 00:40:00,2023-10-30 09:10:00,52.0
oscilacao_018,oscilacao,2023-11-01 13:00:00,2023-11-01 23:20:00,63.0
oscilacao_019,oscilacao,2023-10-09 20:30:00,2023-10-10 04:40:00,50.0
oscilacao_020,oscilacao,2023-10-11 21:30:00,2023-10-12 07:30:00,61.0
oscilacao_021,oscilacao,2023-10-07 12:10:00,2023-10-07 18:50:00,41.0
oscilacao_022,oscilacao,2023-10-10 23:10:00,2023-10-11 05:10:00,37.0
oscilacao_023,oscilacao,2023-10-12 07:40:00,2023-10-12 13:50:00,38.0
oscilacao_024,oscilacao,2023-10-30 18:20:00,2023-10-31 02:10:00,48.0
oscilacao_025,oscilacao,2023-10-16 17:20:00,2023-10-17 03:10:00,60.0
oscilacao_026,oscilacao,2023-10-23 05:20:00,2023-10-23 16:00:00,65.0
oscilacao_027,oscilacao,2023-11-03 06:40:00,2023-11-03 15:40:00,55.0
oscilacao_028,oscilacao,2023-10-16 05:20:00,2023-10-16 17:10:00,72.0
lacuna_001,lacuna,2023-11-07 07:30:00,2023-11-07 12:00:00,28.0
lacuna_002,lacuna,2023-10-26 00:30:00,2023-10-26 06:40:00,38.0
lacuna_003,lacuna,2023-10-11 17:10:00,2023-10-11 21:20:00,26.0
lacuna_004,lacuna,2023-11-04 18:10:00,2023-11-05 00:40:00,40.0
lacuna_005,lacuna,2023-10-17 11:30:00,2023-10-17 16:50:00,33.0
lacuna_006,lacuna,2023-10-29 16:40:00,2023-10-30 00:30:00,48.0
lacuna_007,lacuna,2023-10-10 19:10:00,2023-10-10 23:00:00,24.0
lacuna_008,lacuna,2023-10-15 16:30:00,2023-10-15 20:30:00,25.0
lacuna_009,lacuna,2023-11-03 01:20:00,2023-11-03 06:30:00,32.0
lacuna_010,lacuna,2023-10-23 16:10:00,2023-10-23 21:50:00,35.0
lacuna_011,lacuna,2023-10-24 17:50:00,2023-10-24 23:00:00,32.0
lacuna_012,lacuna,2023-10-26 18:40:00,2023-10-26 23:40:00,31.0
lacuna_013,lacuna,2023-10-09 05:30:00,2023-10-09 11:20:00,36.0
lacuna_014,lacuna,2023-10-15 08:00:00,2023-10-15 15:40:00,47.0
lacuna_015,lacuna,2023-11-08 07:40:00,2023-11-08 14:10:00,40.0
lacuna_016,lacuna,2023-11-03 15:50:00,2023-11-03 21:40:00,36.0
lacuna_017,lacuna,2023-10-07 19:50:00,2023-10-08 00:30:00,29.0
lacuna_018,lacuna,2023-10-25 07:30:00,2023-10-25 13:10:00,35.0
lacuna_019,lacuna,2023-10-18 05:50:00,2023-10-18 11:00:00,32.0
lacuna_020,lacuna,2023-10-24 05:10:00,2023-10-24 12:20:00,44.0
