Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,28,17,520,56,246,109,0.8227712137486574,0.9027777777777778,0.8267090620031796,0.8630705394190872,0.8206392992135103
10,10,20,10,254,28,124,60,0.8111587982832618,0.900709219858156,0.8089171974522293,0.8523489932885906,0.81235333556822
15,11,20,9,172,23,79,37,0.8070739549839229,0.882051282051282,0.8229665071770335,0.8514851485148515,0.798738155549301
20,9,18,9,129,17,58,29,0.8025751072961373,0.8835616438356164,0.8164556962025317,0.8486842105263158,0.7948945147679325
25,9,18,9,106,19,40,22,0.7807486631016043,0.848,0.828125,0.8379446640316206,0.7530455508474576
30,9,16,7,88,13,39,16,0.8141025641025641,0.8712871287128713,0.8461538461538461,0.8585365853658536,0.7980769230769231
35,8,14,6,77,10,35,11,0.8421052631578947,0.8850574712643678,0.875,0.88,0.8263888888888888
40,9,13,4,68,8,28,13,0.8205128205128205,0.8947368421052632,0.8395061728395061,0.8662420382165605,0.808641975308642
45,10,16,6,54,9,25,16,0.7596153846153846,0.8571428571428571,0.7714285714285715,0.8120300751879699,0.7533613445378151
50,9,13,4,54,10,19,11,0.776595744680851,0.84375,0.8307692307692308,0.8372093023255814,0.7429708222811671
55,8,12,4,49,9,18,9,0.788235294117647,0.8448275862068966,0.8448275862068966,0.8448275862068966,0.7557471264367817
60,8,12,4,45,10,16,7,0.782051282051282,0.8181818181818182,0.8653846153846154,0.8411214953271028,0.7403846153846154
65,6,11,5,41,8,15,8,0.7777777777777778,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.7444543034605147
70,7,9,2,40,6,17,4,0.8507462686567164,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.8241106719367588
75,9,10,1,30,5,15,13,0.7142857142857143,0.8571428571428571,0.6976744186046512,0.7692307692307693,0.7238372093023255
80,8,10,2,34,5,13,7,0.7966101694915254,0.8717948717948718,0.8292682926829268,0.85,0.7757452574525745
85,6,9,3,33,6,9,7,0.7636363636363637,0.8461538461538461,0.825,0.8354430379746836,0.7124999999999999
90,7,11,4,23,3,13,13,0.6923076923076923,0.8846153846153846,0.6388888888888888,0.7419354838709677,0.7256944444444444
95,7,10,3,28,5,11,5,0.7959183673469388,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.7679924242424243
100,8,8,0,27,2,13,5,0.851063829787234,0.9310344827586207,0.84375,0.8852459016393442,0.8552083333333333
