Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,41,30,561,65,237,68,0.8571428571428571,0.8961661341853036,0.8918918918918919,0.8940239043824701,0.8383300519062109
10,10,24,14,280,41,111,34,0.8390557939914163,0.8722741433021807,0.89171974522293,0.8818897637795275,0.8109914515588335
15,11,23,12,182,27,75,27,0.8263665594855305,0.8708133971291866,0.8708133971291866,0.8708133971291866,0.8030537573881227
20,9,21,12,137,23,52,21,0.8111587982832618,0.85625,0.8670886075949367,0.8616352201257862,0.780210970464135
25,9,16,7,113,15,44,15,0.839572192513369,0.8828125,0.8828125,0.8828125,0.8142876059322034
30,9,15,6,90,17,35,14,0.8012820512820513,0.8411214953271028,0.8653846153846154,0.8530805687203792,0.7692307692307693
35,8,15,7,81,16,29,7,0.8270676691729323,0.8350515463917526,0.9204545454545454,0.8756756756756757,0.7824494949494949
40,9,16,7,69,9,27,12,0.8205128205128205,0.8846153846153846,0.8518518518518519,0.8679245283018868,0.8009259259259259
45,10,15,5,62,11,23,8,0.8173076923076923,0.8493150684931506,0.8857142857142857,0.8671328671328671,0.7810924369747899
50,9,11,2,57,9,20,8,0.8191489361702128,0.8636363636363636,0.8769230769230769,0.8702290076335878,0.783289124668435
55,8,9,1,52,11,16,6,0.8,0.8253968253968254,0.896551724137931,0.859504132231405,0.7445721583652618
60,8,9,1,47,12,14,5,0.782051282051282,0.7966101694915254,0.9038461538461539,0.8468468468468469,0.7211538461538461
65,6,10,4,41,8,15,8,0.7777777777777778,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.7444543034605147
70,7,8,1,40,7,16,4,0.835820895522388,0.851063829787234,0.9090909090909091,0.8791208791208791,0.8023715415019763
75,9,11,2,30,4,16,13,0.7301587301587301,0.8823529411764706,0.6976744186046512,0.7792207792207793,0.7488372093023257
80,8,7,-1,37,7,11,4,0.8135593220338984,0.8409090909090909,0.9024390243902439,0.8705882352941177,0.7567750677506775
85,6,6,0,37,6,9,3,0.8363636363636363,0.8604651162790697,0.925,0.891566265060241,0.7625
90,7,9,2,30,3,13,6,0.8269230769230769,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8229166666666667
95,7,8,1,30,6,10,3,0.8163265306122449,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.7670454545454546
100,8,7,-1,26,2,13,6,0.8297872340425532,0.9285714285714286,0.8125,0.8666666666666667,0.8395833333333333
