Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,28,28,0,267,668,0,0.7144385026737968,0.0,0.0,0.0,0.7144385026737968
10,0,20,20,0,135,333,0,0.7115384615384616,0.0,0.0,0.0,0.7115384615384616
15,0,21,21,0,80,232,0,0.7435897435897436,0.0,0.0,0.0,0.7435897435897436
20,0,20,20,0,77,157,0,0.6709401709401709,0.0,0.0,0.0,0.6709401709401709
25,0,20,20,0,54,133,0,0.7112299465240641,0.0,0.0,0.0,0.7112299465240641
30,0,17,17,0,42,114,0,0.7307692307692307,0.0,0.0,0.0,0.7307692307692307
35,0,12,12,0,31,103,0,0.7686567164179104,0.0,0.0,0.0,0.7686567164179104
40,0,12,12,0,41,76,0,0.6495726495726496,0.0,0.0,0.0,0.6495726495726496
45,0,14,14,0,32,72,0,0.6923076923076923,0.0,0.0,0.0,0.6923076923076923
50,0,12,12,0,34,60,0,0.6382978723404256,0.0,0.0,0.0,0.6382978723404256
55,0,13,13,0,37,48,0,0.5647058823529412,0.0,0.0,0.0,0.5647058823529412
60,0,13,13,0,26,52,0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
65,0,7,7,0,13,59,0,0.8194444444444444,0.0,0.0,0.0,0.8194444444444444
70,0,9,9,0,23,44,0,0.6567164179104478,0.0,0.0,0.0,0.6567164179104478
75,0,11,11,0,25,38,0,0.6031746031746031,0.0,0.0,0.0,0.6031746031746031
80,0,13,13,0,21,38,0,0.6440677966101694,0.0,0.0,0.0,0.6440677966101694
