Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,11,0,443,0,492,0,1.0,1.0,1.0,1.0,1.0
10,11,11,0,224,0,244,0,1.0,1.0,1.0,1.0,1.0
15,11,11,0,147,0,165,0,1.0,1.0,1.0,1.0,1.0
20,11,11,0,113,0,121,0,1.0,1.0,1.0,1.0,1.0
25,11,11,0,89,0,97,1,0.9946524064171123,1.0,0.9888888888888889,0.994413407821229,0.9944444444444445
30,11,11,0,73,0,83,0,1.0,1.0,1.0,1.0,1.0
35,11,11,0,60,0,74,0,1.0,1.0,1.0,1.0,1.0
40,11,11,0,57,0,60,0,1.0,1.0,1.0,1.0,1.0
45,11,11,0,47,0,57,0,1.0,1.0,1.0,1.0,1.0
50,10,10,0,46,0,47,1,0.9893617021276596,1.0,0.9787234042553191,0.989247311827957,0.9893617021276595
55,11,11,0,38,0,47,0,1.0,1.0,1.0,1.0,1.0
60,10,10,0,37,0,41,0,1.0,1.0,1.0,1.0,1.0
65,10,10,0,32,0,40,0,1.0,1.0,1.0,1.0,1.0
70,11,11,0,30,0,37,0,1.0,1.0,1.0,1.0,1.0
75,10,10,0,31,0,32,0,1.0,1.0,1.0,1.0,1.0
80,9,10,1,27,0,30,2,0.9661016949152542,1.0,0.9310344827586207,0.9642857142857143,0.9655172413793103
