Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,18,45,27,299,44,457,137,0.8068303094983992,0.8717201166180758,0.6857798165137615,0.7676508344030809,0.7989777326081782
10,18,39,21,162,30,222,55,0.8187633262260128,0.84375,0.7465437788018433,0.7921760391198044,0.8137480798771122
15,18,25,7,101,17,151,44,0.805111821086262,0.8559322033898306,0.696551724137931,0.7680608365019012,0.7976806239737274
20,18,26,8,78,15,111,31,0.8042553191489362,0.8387096774193549,0.7155963302752294,0.7722772277227723,0.7982743556138052
25,16,22,6,64,7,92,25,0.8297872340425532,0.9014084507042254,0.7191011235955056,0.8,0.8241970264442174
30,17,21,4,52,8,77,20,0.821656050955414,0.8666666666666667,0.7222222222222222,0.7878787878787878,0.8140522875816993
35,16,21,5,47,8,61,18,0.8059701492537313,0.8545454545454545,0.7230769230769231,0.7833333333333333,0.8035674470457079
40,15,18,3,41,1,61,15,0.864406779661017,0.9761904761904762,0.7321428571428571,0.8367346938775511,0.8580069124423964
45,17,23,6,31,10,47,17,0.7428571428571429,0.7560975609756098,0.6458333333333334,0.6966292134831461,0.7351973684210527
50,14,17,3,25,2,48,19,0.776595744680851,0.9259259259259259,0.5681818181818182,0.704225352112676,0.7640909090909092
55,15,17,2,26,2,47,11,0.8488372093023255,0.9285714285714286,0.7027027027027027,0.8,0.8309431880860452
60,15,16,1,24,2,39,14,0.7974683544303798,0.9230769230769231,0.631578947368421,0.75,0.7913992297817715
65,16,17,1,24,3,33,13,0.7808219178082192,0.8888888888888888,0.6486486486486487,0.75,0.7826576576576576
70,15,15,0,17,2,33,15,0.746268656716418,0.8947368421052632,0.53125,0.6666666666666666,0.7370535714285714
