Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,20,39,19,341,52,488,58,0.8828541001064962,0.8676844783715013,0.8546365914786967,0.8611111111111112,0.8791701475912002
10,20,33,13,168,25,247,30,0.8829787234042553,0.8704663212435233,0.8484848484848485,0.8593350383631714,0.8782865418894831
15,18,29,11,105,16,162,30,0.853035143769968,0.8677685950413223,0.7777777777777778,0.8203125,0.8439450686641699
20,17,27,10,83,13,124,15,0.8808510638297873,0.8645833333333334,0.8469387755102041,0.8556701030927835,0.8760241322806495
25,18,23,5,66,12,95,15,0.8563829787234043,0.8461538461538461,0.8148148148148148,0.8301886792452831,0.8513326410522672
30,16,23,7,55,8,82,12,0.8726114649681529,0.873015873015873,0.8208955223880597,0.8461538461538461,0.8660033167495854
35,17,21,4,49,7,69,10,0.8740740740740741,0.875,0.8305084745762712,0.8521739130434782,0.8692016057091883
40,16,22,6,37,10,59,12,0.8135593220338984,0.7872340425531915,0.7551020408163265,0.7708333333333334,0.8050872522922212
45,17,21,4,33,7,53,12,0.819047619047619,0.825,0.7333333333333333,0.7764705882352941,0.8083333333333333
50,17,18,1,31,5,50,8,0.8617021276595744,0.8611111111111112,0.7948717948717948,0.8266666666666667,0.8519813519813519
55,17,18,1,30,5,47,4,0.8953488372093024,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.8930995475113122
60,16,16,0,27,5,40,7,0.8481012658227848,0.84375,0.7941176470588235,0.8181818181818182,0.8415032679738561
