Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,58,58,0,299,634,0,0.6795284030010718,0.0,0.0,0.0,0.6795284030010718
10,0,32,32,0,140,327,0,0.7002141327623126,0.0,0.0,0.0,0.7002141327623126
15,0,33,33,0,82,229,0,0.7363344051446945,0.0,0.0,0.0,0.7363344051446945
20,0,19,19,0,59,175,0,0.7478632478632479,0.0,0.0,0.0,0.7478632478632479
25,0,28,28,0,64,123,0,0.6577540106951871,0.0,0.0,0.0,0.6577540106951871
30,0,23,23,0,62,94,0,0.6025641025641025,0.0,0.0,0.0,0.6025641025641025
35,0,9,9,0,21,113,0,0.8432835820895522,0.0,0.0,0.0,0.8432835820895522
40,0,14,14,0,29,88,0,0.7521367521367521,0.0,0.0,0.0,0.7521367521367521
45,0,11,11,0,23,81,0,0.7788461538461539,0.0,0.0,0.0,0.7788461538461539
50,0,21,21,0,35,59,0,0.6276595744680851,0.0,0.0,0.0,0.6276595744680851
55,0,12,12,0,31,54,0,0.6352941176470588,0.0,0.0,0.0,0.6352941176470588
60,0,11,11,0,26,52,0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
65,0,9,9,0,16,56,0,0.7777777777777778,0.0,0.0,0.0,0.7777777777777778
70,0,5,5,0,9,58,0,0.8656716417910447,0.0,0.0,0.0,0.8656716417910447
75,0,8,8,0,20,43,0,0.6825396825396826,0.0,0.0,0.0,0.6825396825396826
80,0,8,8,0,17,42,0,0.711864406779661,0.0,0.0,0.0,0.711864406779661
85,0,9,9,0,15,40,0,0.7272727272727273,0.0,0.0,0.0,0.7272727272727273
90,0,10,10,0,23,29,0,0.5576923076923077,0.0,0.0,0.0,0.5576923076923077
