evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-25 08:10:00,2023-10-25 19:30:00,69.0
oscilacao_002,oscilacao,2023-10-17 03:20:00,2023-10-17 09:20:00,37.0
oscilacao_003,oscilacao,2023-10-20 03:20:00,2023-10-20 12:50:00,58.0
oscilacao_004,oscilacao,2023-10-14 14:40:00,2023-10-14 23:10:00,52.0
oscilacao_005,oscilacao,2023-11-03 02:20:00,2023-11-03 08:20:00,37.0
oscilacao_006,oscilacao,2023-11-01 01:30:00,2023-11-01 11:10:00,59.0
oscilacao_007,oscilacao,2023-10-22 09:50:00,2023-10-22 20:50:00,67.0
oscilacao_008,oscilacao,2023-10-16 08:20:00,2023-10-16 19:40:00,69.0
oscilacao_009,oscilacao,2023-11-05 05:10:00,2023-11-05 16:50:00,71.0
oscilacao_010,oscilacao,2023-11-01 11:20:00,2023-11-01 20:50:00,58.0
oscilacao_011,oscilacao,2023-10-15 18:10:00,2023-10-16 03:40:00,58.0
oscilacao_012,oscilacao,2023-11-03 22:00:00,2023-11-04 06:00:00,49.0
oscilacao_013,oscilacao,2023-11-05 21:40:00,2023-11-06 06:40:00,55.0
oscilacao_014,oscilacao,2023-11-06 10:30:00,2023-11-06 19:50:00,57.0
oscilacao_015,oscilacao,2023-10-09 15:00:00,2023-10-10 02:50:00,72.0
oscilacao_016,oscilacao,2023-11-07 08:10:00,2023-11-07 14:20:00,38.0
oscilacao_017,oscilacao,2023-10-23 10:20:00,2023-10-23 17:40:00,45.0
oscilacao_018,oscilacao,2023-10-30 13:30:00,2023-10-30 20:10:00,41.0
oscilacao_019,oscilacao,2023-10-19 00:00:00,2023-10-19 11:40:00,71.0
oscilacao_020,oscilacao,2023-10-18 04:10:00,2023-10-18 12:00:00,48.0
oscilacao_021,oscilacao,2023-11-03 10:50:00,2023-11-03 21:50:00,67.0
oscilacao_022,oscilacao,2023-10-21 21:30:00,2023-10-22 04:00:00,40.0
oscilacao_023,oscilacao,2023-10-23 18:20:00,2023-10-24 01:40:00,45.0
oscilacao_024,oscilacao,2023-10-22 21:00:00,2023-10-23 06:00:00,55.0
oscilacao_025,oscilacao,2023-11-04 15:50:00,2023-11-05 03:10:00,69.0
oscilacao_026,oscilacao,2023-11-02 08:50:00,2023-11-02 18:00:00,56.0
oscilacao_027,oscilacao,2023-11-02 00:00:00,2023-11-02 08:40:00,53.0
lacuna_001,lacuna,2023-10-10 03:00:00,2023-10-10 07:40:00,29.0
lacuna_002,lacuna,2023-10-15 00:40:00,2023-10-15 05:10:00,28.0
lacuna_003,lacuna,2023-10-19 11:50:00,2023-10-19 17:10:00,33.0
lacuna_004,lacuna,2023-11-02 19:10:00,2023-11-03 02:10:00,43.0
lacuna_005,lacuna,2023-11-06 23:20:00,2023-11-07 04:20:00,31.0
lacuna_006,lacuna,2023-11-04 06:10:00,2023-11-04 14:00:00,48.0
lacuna_007,lacuna,2023-10-29 04:20:00,2023-10-29 10:30:00,38.0
lacuna_008,lacuna,2023-10-19 20:40:00,2023-10-20 03:10:00,40.0
lacuna_009,lacuna,2023-10-17 12:20:00,2023-10-17 18:10:00,36.0
lacuna_010,lacuna,2023-10-21 09:10:00,2023-10-21 16:50:00,47.0
lacuna_011,lacuna,2023-11-08 09:00:00,2023-11-08 14:40:00,35.0
lacuna_012,lacuna,2023-10-31 14:50:00,2023-10-31 19:00:00,26.0
lacuna_013,lacuna,2023-10-24 23:50:00,2023-10-25 05:20:00,34.0
lacuna_014,lacuna,2023-10-08 20:20:00,2023-10-09 03:40:00,45.0
lacuna_015,lacuna,2023-10-18 13:30:00,2023-10-18 20:00:00,40.0
lacuna_016,lacuna,2023-10-31 06:10:00,2023-10-31 11:00:00,30.0
lacuna_017,lacuna,2023-10-29 11:20:00,2023-10-29 17:20:00,37.0
lacuna_018,lacuna,2023-10-14 07:50:00,2023-10-14 14:30:00,41.0
lacuna_019,lacuna,2023-10-29 18:50:00,2023-10-30 00:40:00,36.0
lacuna_020,lacuna,2023-10-08 13:00:00,2023-10-08 20:10:00,44.0
lacuna_021,lacuna,2023-10-26 23:30:00,2023-10-27 05:30:00,37.0
lacuna_022,lacuna,2023-10-28 05:30:00,2023-10-28 10:10:00,29.0
lacuna_023,lacuna,2023-10-13 16:30:00,2023-10-13 21:50:00,33.0
lacuna_024,lacuna,2023-10-30 20:20:00,2023-10-31 01:40:00,33.0
queda_001,queda,2023-10-13 13:00:00,2023-10-13 16:20:00,21.0
queda_002,queda,2023-10-28 23:40:00,2023-10-29 04:10:00,28.0
queda_003,queda,2023-10-31 21:00:00,2023-11-01 01:20:00,27.0
queda_004,queda,2023-10-13 08:20:00,2023-10-13 12:50:00,28.0
queda_005,queda,2023-10-14 02:40:00,2023-10-14 06:40:00,25.0
queda_006,queda,2023-10-21 17:30:00,2023-10-21 21:20:00,24.0
queda_007,queda,2023-10-12 14:40:00,2023-10-12 19:20:00,29.0
queda_008,queda,2023-11-08 05:00:00,2023-11-08 08:50:00,24.0
queda_009,queda,2023-10-27 10:20:00,2023-10-27 13:10:00,18.0
queda_010,queda,2023-10-28 16:20:00,2023-10-28 20:20:00,25.0
queda_011,queda,2023-11-07 14:30:00,2023-11-07 18:20:00,24.0
queda_012,queda,2023-10-24 10:40:00,2023-10-24 13:40:00,19.0
queda_013,queda,2023-10-31 02:10:00,2023-10-31 06:00:00,24.0
queda_014,queda,2023-10-15 10:10:00,2023-10-15 15:00:00,30.0
queda_015,queda,2023-10-13 03:30:00,2023-10-13 08:10:00,29.0
queda_016,queda,2023-10-13 23:40:00,2023-10-14 02:30:00,18.0
queda_017,queda,2023-10-11 22:50:00,2023-10-12 02:30:00,23.0
queda_018,queda,2023-10-10 23:50:00,2023-10-11 03:10:00,21.0
queda_019,queda,2023-10-17 20:00:00,2023-10-18 01:00:00,31.0
