Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,3,3,0,3,938,0,0.9968119022316685,0.0,0.0,0.0,0.9968119022316685
10,0,3,3,0,11,460,0,0.9766454352441614,0.0,0.0,0.0,0.9766454352441614
15,0,6,6,0,21,293,0,0.9331210191082803,0.0,0.0,0.0,0.9331210191082803
20,0,1,1,0,2,234,0,0.9915254237288136,0.0,0.0,0.0,0.9915254237288136
25,0,6,6,0,23,166,0,0.8783068783068783,0.0,0.0,0.0,0.8783068783068783
30,0,4,4,0,15,142,0,0.9044585987261147,0.0,0.0,0.0,0.9044585987261147
35,0,7,7,0,22,113,0,0.837037037037037,0.0,0.0,0.0,0.837037037037037
40,0,1,1,0,3,115,0,0.9745762711864406,0.0,0.0,0.0,0.9745762711864406
45,0,5,5,0,9,96,0,0.9142857142857143,0.0,0.0,0.0,0.9142857142857143
50,0,2,2,0,3,92,0,0.968421052631579,0.0,0.0,0.0,0.968421052631579
