Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,19,20,1,363,1,564,13,0.9851222104144527,0.9972527472527473,0.9654255319148937,0.981081081081081,0.9818278102052345
10,19,23,4,172,9,270,20,0.9384288747346072,0.9502762430939227,0.8958333333333334,0.9222520107238605,0.9317876344086022
15,19,20,1,115,2,186,11,0.9585987261146497,0.9829059829059829,0.9126984126984127,0.9465020576131687,0.9510300574130361
20,18,23,5,84,11,129,12,0.902542372881356,0.8842105263157894,0.875,0.8795811518324608,0.8982142857142856
25,19,19,0,68,0,115,6,0.9682539682539683,1.0,0.918918918918919,0.9577464788732394,0.9594594594594594
30,18,20,2,51,5,89,12,0.89171974522293,0.9107142857142857,0.8095238095238095,0.8571428571428571,0.8781661600810537
35,15,19,4,48,3,75,9,0.9111111111111111,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.9018218623481782
40,16,19,3,36,2,67,13,0.8728813559322034,0.9473684210526315,0.7346938775510204,0.8275862068965517,0.8528541851523218
45,16,17,1,35,3,60,7,0.9047619047619048,0.9210526315789473,0.8333333333333334,0.875,0.8928571428571428
50,16,17,1,37,1,52,5,0.9368421052631579,0.9736842105263158,0.8809523809523809,0.925,0.9310422282120395
