Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,29,14,275,66,553,43,0.8836712913553896,0.8064516129032258,0.8647798742138365,0.834597875569044,0.8790781438920556
10,15,23,8,136,33,277,23,0.8805970149253731,0.8047337278106509,0.8553459119496856,0.8292682926829268,0.8744471495232299
15,15,23,8,93,21,183,16,0.8817891373801917,0.8157894736842105,0.8532110091743119,0.8340807174887892,0.8751349163518618
20,15,21,6,67,17,138,13,0.8723404255319149,0.7976190476190477,0.8375,0.8170731707317073,0.8639112903225807
25,14,22,8,51,14,110,13,0.8563829787234043,0.7846153846153846,0.796875,0.7906976744186046,0.8419858870967742
30,15,22,7,47,16,85,9,0.8407643312101911,0.746031746031746,0.8392857142857143,0.7899159663865546,0.8404349363507779
35,14,20,6,37,17,71,9,0.8059701492537313,0.6851851851851852,0.8043478260869565,0.74,0.8055830039525691
40,15,19,4,33,14,65,6,0.8305084745762712,0.7021276595744681,0.8461538461538461,0.7674418604651163,0.8344693281402142
45,15,16,1,26,7,62,10,0.8380952380952381,0.7878787878787878,0.7222222222222222,0.7536231884057971,0.8103864734299517
50,13,18,5,23,8,53,10,0.8085106382978723,0.7419354838709677,0.696969696969697,0.71875,0.7829110779930453
55,14,16,2,21,10,49,6,0.813953488372093,0.6774193548387096,0.7777777777777778,0.7241379310344828,0.8041431261770244
60,14,18,4,23,10,41,5,0.810126582278481,0.696969696969697,0.8214285714285714,0.7540983606557377,0.8126750700280112
65,14,18,4,22,8,40,3,0.8493150684931506,0.7333333333333333,0.88,0.8,0.8566666666666667
70,13,13,0,15,8,38,6,0.7910447761194029,0.6521739130434783,0.7142857142857143,0.6818181818181818,0.7701863354037267
