Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,14,14,0,210,721,0,0.7744360902255639,0.0,0.0,0.0,0.7744360902255639
10,0,12,12,0,102,364,0,0.7811158798283262,0.0,0.0,0.0,0.7811158798283262
15,0,11,11,0,66,245,0,0.7877813504823151,0.0,0.0,0.0,0.7877813504823151
20,0,11,11,0,47,186,0,0.7982832618025751,0.0,0.0,0.0,0.7982832618025751
25,0,11,11,0,38,149,0,0.7967914438502673,0.0,0.0,0.0,0.7967914438502673
30,0,8,8,0,34,122,0,0.782051282051282,0.0,0.0,0.0,0.782051282051282
35,0,10,10,0,30,103,0,0.7744360902255639,0.0,0.0,0.0,0.7744360902255639
40,0,7,7,0,21,96,0,0.8205128205128205,0.0,0.0,0.0,0.8205128205128205
45,0,6,6,0,15,89,0,0.8557692307692307,0.0,0.0,0.0,0.8557692307692307
50,0,12,12,0,23,71,0,0.7553191489361702,0.0,0.0,0.0,0.7553191489361702
55,0,9,9,0,18,67,0,0.788235294117647,0.0,0.0,0.0,0.788235294117647
60,0,8,8,0,17,61,0,0.782051282051282,0.0,0.0,0.0,0.782051282051282
65,0,5,5,0,10,62,0,0.8611111111111112,0.0,0.0,0.0,0.8611111111111112
70,0,6,6,0,15,52,0,0.7761194029850746,0.0,0.0,0.0,0.7761194029850746
75,0,8,8,0,16,47,0,0.746031746031746,0.0,0.0,0.0,0.746031746031746
80,0,6,6,0,11,48,0,0.8135593220338984,0.0,0.0,0.0,0.8135593220338984
85,0,6,6,0,7,48,0,0.8727272727272727,0.0,0.0,0.0,0.8727272727272727
90,0,4,4,0,9,43,0,0.8269230769230769,0.0,0.0,0.0,0.8269230769230769
95,0,8,8,0,10,39,0,0.7959183673469388,0.0,0.0,0.0,0.7959183673469388
100,0,10,10,0,16,31,0,0.6595744680851063,0.0,0.0,0.0,0.6595744680851063
