evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-08 08:10:00,2023-10-08 19:10:00,67
oscilacao_002,oscilacao,2023-11-08 00:20:00,2023-11-08 09:20:00,55
oscilacao_003,oscilacao,2023-10-09 19:50:00,2023-10-10 07:30:00,71
oscilacao_004,oscilacao,2023-10-31 02:30:00,2023-10-31 11:40:00,56
oscilacao_005,oscilacao,2023-10-21 17:40:00,2023-10-22 03:10:00,58
oscilacao_006,oscilacao,2023-10-26 23:10:00,2023-10-27 05:10:00,37
oscilacao_007,oscilacao,2023-10-30 15:30:00,2023-10-31 02:20:00,66
oscilacao_008,oscilacao,2023-10-26 05:00:00,2023-10-26 12:10:00,44
oscilacao_009,oscilacao,2023-10-21 10:00:00,2023-10-21 17:30:00,46
oscilacao_010,oscilacao,2023-10-11 07:10:00,2023-10-11 16:50:00,59
oscilacao_011,oscilacao,2023-10-26 14:30:00,2023-10-26 21:30:00,43
oscilacao_012,oscilacao,2023-11-03 23:10:00,2023-11-04 05:40:00,40
oscilacao_013,oscilacao,2023-10-07 08:10:00,2023-10-07 16:10:00,49
oscilacao_014,oscilacao,2023-11-07 03:20:00,2023-11-07 14:20:00,67
oscilacao_015,oscilacao,2023-10-16 19:00:00,2023-10-17 03:20:00,51
oscilacao_016,oscilacao,2023-10-12 17:20:00,2023-10-13 00:10:00,42
oscilacao_017,oscilacao,2023-10-23 14:00:00,2023-10-24 00:40:00,65
oscilacao_018,oscilacao,2023-10-27 21:20:00,2023-10-28 06:10:00,54
oscilacao_019,oscilacao,2023-10-28 15:30:00,2023-10-29 01:50:00,63
oscilacao_020,oscilacao,2023-10-15 00:30:00,2023-10-15 10:20:00,60
oscilacao_021,oscilacao,2023-11-06 16:20:00,2023-11-07 03:10:00,66
lacuna_001,lacuna,2023-11-04 06:20:00,2023-11-04 12:40:00,39
lacuna_002,lacuna,2023-10-25 00:10:00,2023-10-25 04:20:00,26
lacuna_003,lacuna,2023-10-11 20:40:00,2023-10-12 01:10:00,28
lacuna_004,lacuna,2023-10-31 16:40:00,2023-10-31 22:10:00,34
lacuna_005,lacuna,2023-11-05 00:00:00,2023-11-05 05:50:00,36
lacuna_006,lacuna,2023-10-18 05:50:00,2023-10-18 09:50:00,25
lacuna_007,lacuna,2023-11-03 15:00:00,2023-11-03 20:40:00,35
lacuna_008,lacuna,2023-11-08 09:30:00,2023-11-08 14:50:00,33
lacuna_009,lacuna,2023-10-08 19:20:00,2023-10-09 00:50:00,34
lacuna_010,lacuna,2023-10-13 03:40:00,2023-10-13 11:10:00,46
lacuna_011,lacuna,2023-11-03 07:20:00,2023-11-03 12:20:00,31
lacuna_012,lacuna,2023-10-19 10:30:00,2023-10-19 15:40:00,32
lacuna_013,lacuna,2023-10-17 03:30:00,2023-10-17 07:20:00,24
lacuna_014,lacuna,2023-10-20 00:40:00,2023-10-20 08:30:00,48
lacuna_015,lacuna,2023-10-22 10:40:00,2023-10-22 18:10:00,46
lacuna_016,lacuna,2023-11-02 09:00:00,2023-11-02 16:10:00,44
lacuna_017,lacuna,2023-10-30 07:30:00,2023-10-30 13:50:00,39
lacuna_018,lacuna,2023-10-09 01:00:00,2023-10-09 06:40:00,35
lacuna_019,lacuna,2023-10-18 01:20:00,2023-10-18 05:40:00,27
lacuna_020,lacuna,2023-10-09 12:40:00,2023-10-09 19:40:00,43
lacuna_021,lacuna,2023-11-01 01:10:00,2023-11-01 06:20:00,32
lacuna_022,lacuna,2023-10-14 20:20:00,2023-10-15 00:20:00,25
lacuna_023,lacuna,2023-10-16 05:50:00,2023-10-16 10:00:00,26
lacuna_024,lacuna,2023-10-19 19:10:00,2023-10-20 00:30:00,33
lacuna_025,lacuna,2023-11-07 14:30:00,2023-11-07 21:10:00,41
queda_001,queda,2023-10-13 15:00:00,2023-10-13 18:50:00,24
queda_002,queda,2023-10-22 18:20:00,2023-10-22 23:10:00,30
queda_003,queda,2023-10-09 09:10:00,2023-10-09 12:30:00,21
queda_004,queda,2023-10-10 07:40:00,2023-10-10 13:00:00,33
queda_005,queda,2023-10-24 15:40:00,2023-10-24 19:30:00,24
queda_006,queda,2023-10-07 21:40:00,2023-10-08 00:50:00,20
queda_007,queda,2023-10-21 05:40:00,2023-10-21 09:50:00,26
queda_008,queda,2023-10-20 18:20:00,2023-10-21 00:10:00,36
queda_009,queda,2023-10-30 04:00:00,2023-10-30 07:20:00,21
queda_010,queda,2023-10-31 11:50:00,2023-10-31 15:10:00,21
queda_011,queda,2023-10-24 06:20:00,2023-10-24 09:50:00,22
queda_012,queda,2023-10-15 19:10:00,2023-10-15 23:10:00,25
queda_013,queda,2023-11-04 17:10:00,2023-11-04 22:50:00,35
queda_014,queda,2023-10-10 21:30:00,2023-10-11 03:00:00,34
queda_015,queda,2023-10-27 17:00:00,2023-10-27 21:10:00,26
queda_016,queda,2023-10-10 13:10:00,2023-10-10 18:00:00,30
queda_017,queda,2023-10-25 09:00:00,2023-10-25 12:20:00,21
queda_018,queda,2023-10-14 16:10:00,2023-10-14 20:10:00,25
queda_019,queda,2023-11-05 07:50:00,2023-11-05 13:00:00,32
queda_020,queda,2023-11-04 13:00:00,2023-11-04 16:20:00,21
queda_021,queda,2023-11-02 19:10:00,2023-11-02 22:00:00,18
queda_022,queda,2023-10-15 10:50:00,2023-10-15 13:50:00,19
