Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,16,16,0,424,0,513,0,1.0,1.0,1.0,1.0,1.0
10,13,14,1,205,0,257,7,0.9850746268656716,1.0,0.9669811320754716,0.9832134292565947,0.9834905660377358
15,13,14,1,136,0,173,4,0.987220447284345,1.0,0.9714285714285714,0.9855072463768116,0.9857142857142858
20,13,13,0,104,0,130,1,0.9957446808510638,1.0,0.9904761904761905,0.9952153110047847,0.9952380952380953
25,13,13,0,83,0,104,1,0.9946808510638298,1.0,0.9880952380952381,0.9940119760479041,0.9940476190476191
30,13,14,1,67,0,86,4,0.9745222929936306,1.0,0.9436619718309859,0.9710144927536232,0.971830985915493
35,13,13,0,61,0,73,0,1.0,1.0,1.0,1.0,1.0
40,13,13,0,53,0,65,0,1.0,1.0,1.0,1.0,1.0
45,13,13,0,47,0,57,1,0.9904761904761905,1.0,0.9791666666666666,0.9894736842105263,0.9895833333333333
50,13,13,0,41,0,52,1,0.9893617021276596,1.0,0.9761904761904762,0.9879518072289156,0.9880952380952381
55,13,13,0,39,0,46,1,0.9883720930232558,1.0,0.975,0.9873417721518988,0.9875
60,13,13,0,36,0,42,1,0.9873417721518988,1.0,0.972972972972973,0.9863013698630136,0.9864864864864865
65,14,14,0,31,0,41,1,0.9863013698630136,1.0,0.96875,0.9841269841269841,0.984375
70,13,13,0,28,0,38,1,0.9850746268656716,1.0,0.9655172413793104,0.9824561403508771,0.9827586206896552
