Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,17,54,37,407,122,344,66,0.7997870074547391,0.7693761814744802,0.8604651162790697,0.812375249500998,0.7993312705858868
10,17,34,17,200,58,173,39,0.7936170212765957,0.7751937984496124,0.8368200836820083,0.8048289738430584,0.7928689162998785
15,17,32,15,133,43,111,26,0.7795527156549521,0.7556818181818182,0.8364779874213837,0.7940298507462686,0.7786286041003022
20,16,26,10,98,27,89,21,0.7957446808510639,0.784,0.8235294117647058,0.8032786885245902,0.7953853955375254
25,17,27,10,78,32,62,16,0.7446808510638298,0.7090909090909091,0.8297872340425532,0.7647058823529411,0.7446808510638298
30,16,21,5,64,19,56,18,0.7643312101910829,0.7710843373493976,0.7804878048780488,0.7757575757575758,0.7635772357723578
35,16,19,3,59,22,44,10,0.762962962962963,0.7283950617283951,0.855072463768116,0.7866666666666666,0.7608695652173914
40,14,21,7,46,18,39,15,0.7203389830508474,0.71875,0.7540983606557377,0.736,0.7191544434857635
45,14,22,8,46,18,32,9,0.7428571428571429,0.71875,0.8363636363636363,0.773109243697479,0.7381818181818182
50,15,22,7,32,11,39,12,0.7553191489361702,0.7441860465116279,0.7272727272727273,0.735632183908046,0.7536363636363637
55,13,21,8,38,11,29,8,0.7790697674418605,0.7755102040816326,0.8260869565217391,0.8,0.7755434782608696
60,14,19,5,27,12,28,12,0.6962025316455697,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6961538461538461
