Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,64,49,123,54,478,282,0.6414087513340448,0.6949152542372882,0.3037037037037037,0.422680412371134,0.6010999721526038
10,15,57,42,147,141,125,56,0.579957356076759,0.5104166666666666,0.7241379310344828,0.5987780040733197,0.597031371532279
15,15,15,0,22,6,171,114,0.6166134185303515,0.7857142857142857,0.16176470588235295,0.2682926829268293,0.5639332003988036
20,15,25,10,28,16,116,75,0.6127659574468085,0.6363636363636364,0.27184466019417475,0.38095238095238093,0.5753162694910268
25,14,43,29,45,41,68,34,0.601063829787234,0.5232558139534884,0.569620253164557,0.5454545454545454,0.5967367320868657
30,14,32,18,36,20,68,33,0.6624203821656051,0.6428571428571429,0.5217391304347826,0.576,0.6472332015810276
35,13,31,18,35,19,58,22,0.6940298507462687,0.6481481481481481,0.6140350877192983,0.6306306306306306,0.6836409204830258
40,14,22,8,28,23,43,24,0.6016949152542372,0.5490196078431373,0.5384615384615384,0.5436893203883495,0.594988344988345
45,14,23,9,20,18,43,24,0.6,0.5263157894736842,0.45454545454545453,0.4878048780487805,0.5797317436661699
50,14,22,8,22,16,40,16,0.6595744680851063,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.6466165413533835
55,12,20,8,17,12,39,18,0.6511627906976745,0.5862068965517241,0.4857142857142857,0.53125,0.6252100840336134
60,14,23,9,18,13,30,18,0.6075949367088608,0.5806451612903226,0.5,0.5373134328358209,0.5988372093023255
65,13,19,6,17,13,27,16,0.6027397260273972,0.5666666666666667,0.5151515151515151,0.5396825396825397,0.5950757575757576
70,13,18,5,16,17,21,13,0.5522388059701493,0.48484848484848486,0.5517241379310345,0.5161290322580645,0.5521778584392014
