Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,44,44,0,379,556,0,0.5946524064171123,0.0,0.0,0.0,0.5946524064171123
10,0,39,39,0,183,285,0,0.6089743589743589,0.0,0.0,0.0,0.6089743589743589
15,0,31,31,0,113,199,0,0.6378205128205128,0.0,0.0,0.0,0.6378205128205128
20,0,34,34,0,78,156,0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
25,0,31,31,0,72,115,0,0.6149732620320856,0.0,0.0,0.0,0.6149732620320856
30,0,26,26,0,57,99,0,0.6346153846153846,0.0,0.0,0.0,0.6346153846153846
35,0,29,29,0,55,79,0,0.5895522388059702,0.0,0.0,0.0,0.5895522388059702
40,0,23,23,0,40,77,0,0.6581196581196581,0.0,0.0,0.0,0.6581196581196581
45,0,26,26,0,51,53,0,0.5096153846153846,0.0,0.0,0.0,0.5096153846153846
50,0,27,27,0,45,49,0,0.5212765957446809,0.0,0.0,0.0,0.5212765957446809
55,0,20,20,0,38,47,0,0.5529411764705883,0.0,0.0,0.0,0.5529411764705883
60,0,19,19,0,34,44,0,0.5641025641025641,0.0,0.0,0.0,0.5641025641025641
65,0,16,16,0,21,51,0,0.7083333333333334,0.0,0.0,0.0,0.7083333333333334
70,0,20,20,0,33,34,0,0.5074626865671642,0.0,0.0,0.0,0.5074626865671642
75,0,18,18,0,30,33,0,0.5238095238095238,0.0,0.0,0.0,0.5238095238095238
80,0,16,16,0,29,30,0,0.5084745762711864,0.0,0.0,0.0,0.5084745762711864
