Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,48,48,0,311,624,0,0.667379679144385,0.0,0.0,0.0,0.667379679144385
10,0,31,31,0,119,349,0,0.7457264957264957,0.0,0.0,0.0,0.7457264957264957
15,0,25,25,0,64,248,0,0.7948717948717948,0.0,0.0,0.0,0.7948717948717948
20,0,23,23,0,64,170,0,0.7264957264957265,0.0,0.0,0.0,0.7264957264957265
25,0,28,28,0,57,130,0,0.6951871657754011,0.0,0.0,0.0,0.6951871657754011
30,0,21,21,0,33,123,0,0.7884615384615384,0.0,0.0,0.0,0.7884615384615384
35,0,18,18,0,25,109,0,0.8134328358208955,0.0,0.0,0.0,0.8134328358208955
40,0,23,23,0,31,86,0,0.7350427350427351,0.0,0.0,0.0,0.7350427350427351
45,0,25,25,0,39,65,0,0.625,0.0,0.0,0.0,0.625
50,0,26,26,0,34,60,0,0.6382978723404256,0.0,0.0,0.0,0.6382978723404256
55,0,20,20,0,20,65,0,0.7647058823529411,0.0,0.0,0.0,0.7647058823529411
60,0,13,13,0,16,62,0,0.7948717948717948,0.0,0.0,0.0,0.7948717948717948
65,0,18,18,0,18,54,0,0.75,0.0,0.0,0.0,0.75
70,0,20,20,0,21,46,0,0.6865671641791045,0.0,0.0,0.0,0.6865671641791045
75,0,21,21,0,23,40,0,0.6349206349206349,0.0,0.0,0.0,0.6349206349206349
80,0,12,12,0,14,45,0,0.7627118644067796,0.0,0.0,0.0,0.7627118644067796
