Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,40,40,0,368,567,0,0.6064171122994653,0.0,0.0,0.0,0.6064171122994653
10,0,38,38,0,187,281,0,0.6004273504273504,0.0,0.0,0.0,0.6004273504273504
15,0,33,33,0,121,191,0,0.6121794871794872,0.0,0.0,0.0,0.6121794871794872
20,0,31,31,0,83,151,0,0.6452991452991453,0.0,0.0,0.0,0.6452991452991453
25,0,31,31,0,76,111,0,0.5935828877005348,0.0,0.0,0.0,0.5935828877005348
30,0,28,28,0,67,89,0,0.5705128205128205,0.0,0.0,0.0,0.5705128205128205
35,0,28,28,0,54,80,0,0.5970149253731343,0.0,0.0,0.0,0.5970149253731343
40,0,23,23,0,44,73,0,0.6239316239316239,0.0,0.0,0.0,0.6239316239316239
45,0,25,25,0,48,56,0,0.5384615384615384,0.0,0.0,0.0,0.5384615384615384
50,0,25,25,0,48,46,0,0.48936170212765956,0.0,0.0,0.0,0.48936170212765956
55,0,21,21,0,36,49,0,0.5764705882352941,0.0,0.0,0.0,0.5764705882352941
60,0,17,17,0,34,44,0,0.5641025641025641,0.0,0.0,0.0,0.5641025641025641
65,0,16,16,0,22,50,0,0.6944444444444444,0.0,0.0,0.0,0.6944444444444444
70,0,20,20,0,30,37,0,0.5522388059701493,0.0,0.0,0.0,0.5522388059701493
75,0,19,19,0,33,30,0,0.47619047619047616,0.0,0.0,0.0,0.47619047619047616
80,0,14,14,0,31,28,0,0.4745762711864407,0.0,0.0,0.0,0.4745762711864407
