Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,72,72,0,132,809,0,0.8597236981934112,0.0,0.0,0.0,0.8597236981934112
10,0,35,35,0,57,414,0,0.8789808917197452,0.0,0.0,0.0,0.8789808917197452
15,0,20,20,0,29,285,0,0.9076433121019108,0.0,0.0,0.0,0.9076433121019108
20,0,8,8,0,11,225,0,0.9533898305084746,0.0,0.0,0.0,0.9533898305084746
25,0,23,23,0,32,157,0,0.8306878306878307,0.0,0.0,0.0,0.8306878306878307
30,0,30,30,0,36,121,0,0.7707006369426752,0.0,0.0,0.0,0.7707006369426752
35,0,16,16,0,23,112,0,0.8296296296296296,0.0,0.0,0.0,0.8296296296296296
40,0,20,20,0,24,94,0,0.7966101694915254,0.0,0.0,0.0,0.7966101694915254
45,0,18,18,0,25,80,0,0.7619047619047619,0.0,0.0,0.0,0.7619047619047619
50,0,20,20,0,22,73,0,0.7684210526315789,0.0,0.0,0.0,0.7684210526315789
