teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos
com_erro,catboost,lacuna,20,5,5,947,947,233,714,250,697,20,20,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985653,697,0,0,250,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_catboost_lacuna_jan20_passo5_eventos.png
com_erro,catboost,oscilacao,100,95,95,49,49,30,19,32,17,9,9,0,0.6326530612244898,0.5395220588235294,0.675,0.84375,0.75,0.235294117633218,4,13,5,27,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_catboost_oscilacao_jan100_passo95_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_catboost_oscilacao_jan100_passo95_eventos.png
com_erro,catboost,queda,100,90,90,52,52,27,25,24,28,10,11,1,0.6923076923076923,0.6964285714285714,0.6428571428571429,0.75,0.6923076923076923,0.6428571428341837,18,10,6,18,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_catboost_queda_jan100_passo90_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_catboost_queda_jan100_passo90_eventos.png
com_erro,mlp,lacuna,100,80,80,59,59,30,29,35,24,10,10,0,0.9830508474576272,0.9791666666666667,0.9722222222222222,1.0,0.9859154929577465,0.9583333332934028,23,1,0,35,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_mlp_lacuna_jan100_passo80_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_mlp_lacuna_jan100_passo80_eventos.png
com_erro,mlp,oscilacao,80,65,65,72,72,43,29,45,27,10,12,2,0.7777777777777778,0.7703703703703704,0.8372093023255814,0.8,0.8181818181818182,0.7407407407133059,20,7,9,36,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_mlp_oscilacao_jan80_passo65_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_mlp_oscilacao_jan80_passo65_eventos.png
com_erro,mlp,queda,90,75,75,63,63,32,31,27,36,10,11,1,0.746031746031746,0.7546296296296295,0.6666666666666666,0.8148148148148148,0.7333333333333333,0.6944444444251544,25,11,5,22,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_mlp_queda_jan90_passo75_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_mlp_queda_jan90_passo75_eventos.png
com_erro,random_forest,lacuna,20,15,15,316,316,77,239,84,232,19,19,0,1.0,1.0,1.0,1.0,1.0,0.9999999999956897,232,0,0,84,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_random_forest_lacuna_jan20_passo15_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_random_forest_lacuna_jan20_passo15_eventos.png
com_erro,random_forest,oscilacao,100,100,100,47,47,30,17,31,16,8,10,2,0.7021276595744681,0.622983870967742,0.7297297297297297,0.8709677419354839,0.7941176470588235,0.3749999999765625,6,10,4,27,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_random_forest_oscilacao_jan100_passo100_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_random_forest_oscilacao_jan100_passo100_eventos.png
com_erro,random_forest,queda,90,80,80,59,59,25,34,25,34,10,10,0,0.8135593220338984,0.7958823529411765,0.85,0.68,0.7555555555555555,0.9117647058555364,31,3,8,17,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_random_forest_queda_jan90_passo80_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_random_forest_queda_jan90_passo80_eventos.png
com_erro,xgboost,lacuna,20,5,5,947,947,233,714,250,697,20,20,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985653,697,0,0,250,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_xgboost_lacuna_jan20_passo5_eventos.png
com_erro,xgboost,oscilacao,100,65,65,72,72,44,28,45,27,10,11,1,0.7638888888888888,0.7444444444444445,0.8043478260869565,0.8222222222222222,0.8131868131868132,0.6666666666419753,18,9,8,37,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_xgboost_oscilacao_jan100_passo65_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_xgboost_oscilacao_jan100_passo65_eventos.png
com_erro,xgboost,queda,100,85,85,55,55,28,27,25,30,11,11,0,0.6,0.6166666666666667,0.5405405405405406,0.8,0.6451612903225806,0.4333333333188889,13,17,5,20,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_xgboost_queda_jan100_passo85_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_2\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_2_com_erro_xgboost_queda_jan100_passo85_eventos.png
