evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-11-01 10:00:00,2023-11-01 17:10:00,44.0
oscilacao_002,oscilacao,2023-11-03 23:30:00,2023-11-04 06:40:00,44.0
oscilacao_003,oscilacao,2023-11-06 13:10:00,2023-11-06 22:10:00,55.0
oscilacao_004,oscilacao,2023-10-10 10:50:00,2023-10-10 20:20:00,58.0
oscilacao_005,oscilacao,2023-10-07 10:10:00,2023-10-07 22:00:00,72.0
oscilacao_006,oscilacao,2023-10-26 17:00:00,2023-10-27 04:30:00,70.0
oscilacao_007,oscilacao,2023-10-08 06:30:00,2023-10-08 15:50:00,57.0
oscilacao_008,oscilacao,2023-10-10 20:30:00,2023-10-11 04:40:00,50.0
oscilacao_009,oscilacao,2023-10-23 06:00:00,2023-10-23 14:00:00,49.0
oscilacao_010,oscilacao,2023-11-06 22:20:00,2023-11-07 09:30:00,68.0
oscilacao_011,oscilacao,2023-10-31 14:50:00,2023-10-31 23:00:00,50.0
oscilacao_012,oscilacao,2023-11-07 19:40:00,2023-11-08 06:00:00,63.0
oscilacao_013,oscilacao,2023-10-19 11:50:00,2023-10-19 21:10:00,57.0
oscilacao_014,oscilacao,2023-10-18 06:00:00,2023-10-18 16:00:00,61.0
oscilacao_015,oscilacao,2023-10-16 20:10:00,2023-10-17 04:50:00,53.0
oscilacao_016,oscilacao,2023-10-16 06:00:00,2023-10-16 17:20:00,69.0
oscilacao_017,oscilacao,2023-10-15 09:30:00,2023-10-15 15:20:00,36.0
oscilacao_018,oscilacao,2023-11-01 19:30:00,2023-11-02 02:40:00,44.0
oscilacao_019,oscilacao,2023-10-25 08:00:00,2023-10-25 19:00:00,67.0
oscilacao_020,oscilacao,2023-10-12 01:00:00,2023-10-12 10:30:00,58.0
oscilacao_021,oscilacao,2023-10-09 00:40:00,2023-10-09 12:10:00,70.0
oscilacao_022,oscilacao,2023-10-19 04:10:00,2023-10-19 11:40:00,46.0
oscilacao_023,oscilacao,2023-10-13 17:20:00,2023-10-14 01:50:00,52.0
oscilacao_024,oscilacao,2023-10-31 08:00:00,2023-10-31 14:40:00,41.0
oscilacao_025,oscilacao,2023-11-07 09:40:00,2023-11-07 18:40:00,55.0
oscilacao_026,oscilacao,2023-10-12 14:10:00,2023-10-12 22:00:00,48.0
oscilacao_027,oscilacao,2023-10-19 21:20:00,2023-10-20 05:10:00,48.0
oscilacao_028,oscilacao,2023-10-14 02:20:00,2023-10-14 13:50:00,70.0
lacuna_001,lacuna,2023-10-25 19:10:00,2023-10-26 00:40:00,34.0
lacuna_002,lacuna,2023-10-18 22:10:00,2023-10-19 02:00:00,24.0
lacuna_003,lacuna,2023-10-13 00:10:00,2023-10-13 06:30:00,39.0
lacuna_004,lacuna,2023-11-05 20:10:00,2023-11-06 03:30:00,45.0
lacuna_005,lacuna,2023-10-30 05:40:00,2023-10-30 09:40:00,25.0
lacuna_006,lacuna,2023-10-08 19:50:00,2023-10-09 00:30:00,29.0
lacuna_007,lacuna,2023-10-11 04:50:00,2023-10-11 12:20:00,46.0
lacuna_008,lacuna,2023-11-04 12:40:00,2023-11-04 16:50:00,26.0
lacuna_009,lacuna,2023-11-06 03:40:00,2023-11-06 07:40:00,25.0
lacuna_010,lacuna,2023-10-15 02:00:00,2023-10-15 09:20:00,45.0
lacuna_011,lacuna,2023-10-28 23:40:00,2023-10-29 05:30:00,36.0
lacuna_012,lacuna,2023-11-03 16:50:00,2023-11-03 23:20:00,40.0
lacuna_013,lacuna,2023-10-26 11:40:00,2023-10-26 16:50:00,32.0
lacuna_014,lacuna,2023-10-23 02:00:00,2023-10-23 05:50:00,24.0
lacuna_015,lacuna,2023-11-02 02:50:00,2023-11-02 09:20:00,40.0
lacuna_016,lacuna,2023-11-02 14:00:00,2023-11-02 18:20:00,27.0
lacuna_017,lacuna,2023-10-23 14:10:00,2023-10-23 19:40:00,34.0
lacuna_018,lacuna,2023-10-13 06:40:00,2023-10-13 13:50:00,44.0
lacuna_019,lacuna,2023-10-09 20:30:00,2023-10-10 00:50:00,27.0
lacuna_020,lacuna,2023-10-17 23:40:00,2023-10-18 05:50:00,38.0
lacuna_021,lacuna,2023-10-07 23:10:00,2023-10-08 06:20:00,44.0
lacuna_022,lacuna,2023-10-29 05:40:00,2023-10-29 09:50:00,26.0
lacuna_023,lacuna,2023-10-26 04:00:00,2023-10-26 08:40:00,29.0
lacuna_024,lacuna,2023-10-22 01:40:00,2023-10-22 06:30:00,30.0
lacuna_025,lacuna,2023-10-14 19:40:00,2023-10-15 00:00:00,27.0
queda_001,queda,2023-10-28 06:20:00,2023-10-28 10:20:00,25.0
queda_002,queda,2023-10-21 22:00:00,2023-10-22 01:00:00,19.0
queda_003,queda,2023-10-18 19:00:00,2023-10-18 22:00:00,19.0
queda_004,queda,2023-11-06 08:00:00,2023-11-06 13:00:00,31.0
queda_005,queda,2023-10-16 01:10:00,2023-10-16 05:50:00,29.0
queda_006,queda,2023-10-28 10:30:00,2023-10-28 14:50:00,27.0
queda_007,queda,2023-10-11 16:40:00,2023-10-11 20:00:00,21.0
queda_008,queda,2023-10-29 12:00:00,2023-10-29 17:00:00,31.0
queda_009,queda,2023-10-28 19:10:00,2023-10-28 23:30:00,27.0
queda_010,queda,2023-11-03 06:40:00,2023-11-03 09:40:00,19.0
queda_011,queda,2023-10-15 15:30:00,2023-10-15 19:30:00,25.0
queda_012,queda,2023-10-20 22:00:00,2023-10-21 02:30:00,28.0
queda_013,queda,2023-10-24 03:50:00,2023-10-24 08:00:00,26.0
queda_014,queda,2023-11-03 11:50:00,2023-11-03 16:30:00,29.0
queda_015,queda,2023-11-04 08:20:00,2023-11-04 12:20:00,25.0
queda_016,queda,2023-10-09 15:30:00,2023-10-09 18:50:00,21.0
queda_017,queda,2023-10-31 02:20:00,2023-10-31 06:50:00,28.0
queda_018,queda,2023-10-10 02:40:00,2023-10-10 08:00:00,33.0
queda_019,queda,2023-11-04 17:50:00,2023-11-04 21:50:00,25.0
queda_020,queda,2023-10-31 23:10:00,2023-11-01 03:30:00,27.0
queda_021,queda,2023-10-22 09:00:00,2023-10-22 12:50:00,24.0
queda_022,queda,2023-10-20 11:40:00,2023-10-20 16:00:00,27.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
