Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,49,34,155,70,573,143,0.7736450584484591,0.6888888888888889,0.5201342281879194,0.5927342256214149,0.7056347657269302
10,15,35,20,74,23,299,75,0.7919320594479831,0.7628865979381443,0.4966442953020134,0.6016260162601627,0.712607861936721
15,14,28,14,47,18,194,55,0.767515923566879,0.7230769230769231,0.46078431372549017,0.562874251497006,0.6879393266740659
20,15,24,9,35,17,144,40,0.7584745762711864,0.6730769230769231,0.4666666666666667,0.5511811023622047,0.6805383022774327
25,15,23,8,26,11,118,34,0.7619047619047619,0.7027027027027027,0.43333333333333335,0.5360824742268041,0.674031007751938
30,14,20,6,22,9,98,28,0.7643312101910829,0.7096774193548387,0.44,0.5432098765432098,0.6779439252336449
35,14,12,-2,18,5,90,22,0.8,0.782608695652174,0.45,0.5714285714285714,0.6986842105263158
40,13,14,1,19,6,74,19,0.788135593220339,0.76,0.5,0.6031746031746031,0.7125
45,13,12,-1,13,5,66,21,0.7523809523809524,0.7222222222222222,0.38235294117647056,0.5,0.6559652029826015
50,14,11,-3,8,5,59,23,0.7052631578947368,0.6153846153846154,0.25806451612903225,0.36363636363636365,0.5899697580645161
