Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,34,34,0,287,652,0,0.6943556975505857,0.0,0.0,0.0,0.6943556975505857
10,0,36,36,0,144,326,0,0.6936170212765957,0.0,0.0,0.0,0.6936170212765957
15,0,35,35,0,101,212,0,0.6773162939297125,0.0,0.0,0.0,0.6773162939297125
20,0,30,30,0,72,163,0,0.6936170212765957,0.0,0.0,0.0,0.6936170212765957
25,0,23,23,0,58,130,0,0.6914893617021277,0.0,0.0,0.0,0.6914893617021277
30,0,28,28,0,55,102,0,0.6496815286624203,0.0,0.0,0.0,0.6496815286624203
35,0,22,22,0,43,92,0,0.6814814814814815,0.0,0.0,0.0,0.6814814814814815
40,0,21,21,0,37,81,0,0.6864406779661016,0.0,0.0,0.0,0.6864406779661016
45,0,18,18,0,26,79,0,0.7523809523809524,0.0,0.0,0.0,0.7523809523809524
50,0,20,20,0,30,64,0,0.6808510638297872,0.0,0.0,0.0,0.6808510638297872
55,0,21,21,0,28,58,0,0.6744186046511628,0.0,0.0,0.0,0.6744186046511628
60,0,22,22,0,28,51,0,0.6455696202531646,0.0,0.0,0.0,0.6455696202531646
