teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp
com_erro,catboost,lacuna,20,5,5,947,947,249,698,308,639,25,25,0,1.0,1.0,1.0,1.0,1.0,0.999999999998435,639,0,0,308
com_erro,catboost,lacuna,20,10,10,474,474,126,348,156,318,25,25,0,1.0,1.0,1.0,1.0,1.0,0.9999999999968554,318,0,0,156
com_erro,catboost,lacuna,20,15,15,316,316,84,232,105,211,25,25,0,1.0,1.0,1.0,1.0,1.0,0.9999999999952607,211,0,0,105
com_erro,catboost,lacuna,20,20,20,237,237,64,173,74,163,24,24,0,0.9957805907172996,0.9932432432432432,1.0,0.9864864864864865,0.9931972789115646,0.9999999999938651,163,0,1,73
com_erro,catboost,lacuna,30,5,5,945,945,284,661,356,589,25,25,0,1.0,1.0,1.0,1.0,1.0,0.9999999999983022,589,0,0,356
com_erro,catboost,lacuna,30,10,10,473,473,143,330,180,293,25,25,0,1.0,1.0,1.0,1.0,1.0,0.9999999999965871,293,0,0,180
com_erro,catboost,lacuna,30,15,15,315,315,96,219,119,196,24,24,0,1.0,1.0,1.0,1.0,1.0,0.999999999994898,196,0,0,119
com_erro,catboost,lacuna,30,20,20,237,237,73,164,89,148,24,24,0,1.0,1.0,1.0,1.0,1.0,0.9999999999932433,148,0,0,89
com_erro,catboost,lacuna,30,25,25,189,189,54,135,71,118,24,24,0,1.0,1.0,1.0,1.0,1.0,0.9999999999915254,118,0,0,71
com_erro,catboost,lacuna,30,30,30,158,158,45,113,62,96,23,24,1,0.9810126582278481,0.9758064516129032,1.0,0.9516129032258065,0.9752066115702479,0.9999999999895833,96,0,3,59
com_erro,catboost,lacuna,40,5,5,943,943,315,628,403,540,25,25,0,1.0,1.0,1.0,1.0,1.0,0.9999999999981481,540,0,0,403
com_erro,catboost,lacuna,40,10,10,472,472,159,313,204,268,24,24,0,1.0,1.0,1.0,1.0,1.0,0.9999999999962687,268,0,0,204
com_erro,catboost,lacuna,40,15,15,315,315,108,207,136,179,24,24,0,1.0,1.0,1.0,1.0,1.0,0.9999999999944135,179,0,0,136
com_erro,catboost,lacuna,40,20,20,236,236,81,155,98,138,23,23,0,0.9957627118644068,0.9948979591836735,1.0,0.9897959183673469,0.9948717948717949,0.9999999999927537,138,0,1,97
com_erro,catboost,lacuna,40,25,25,189,189,66,123,80,109,23,23,0,1.0,1.0,1.0,1.0,1.0,0.9999999999908257,109,0,0,80
com_erro,catboost,lacuna,40,30,30,158,158,51,107,73,85,21,21,0,1.0,1.0,1.0,1.0,1.0,0.9999999999882353,85,0,0,73
com_erro,catboost,lacuna,40,35,35,135,135,45,90,61,74,20,20,0,1.0,1.0,1.0,1.0,1.0,0.9999999999864865,74,0,0,61
com_erro,catboost,lacuna,40,40,40,118,118,39,79,47,71,22,22,0,0.9915254237288136,0.9893617021276595,1.0,0.9787234042553191,0.989247311827957,0.9999999999859155,71,0,1,46
com_erro,catboost,lacuna,50,5,5,941,941,343,598,448,493,21,21,0,1.0,1.0,1.0,1.0,1.0,0.9999999999979716,493,0,0,448
com_erro,catboost,lacuna,50,10,10,471,471,173,298,226,245,21,21,0,1.0,1.0,1.0,1.0,1.0,0.9999999999959184,245,0,0,226
com_erro,catboost,lacuna,50,15,15,314,314,116,198,152,162,21,21,0,1.0,1.0,1.0,1.0,1.0,0.9999999999938273,162,0,0,152
