Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,19,21,2,500,3,410,24,0.9711846318036286,0.9940357852882704,0.9541984732824428,0.9737098344693281,0.9734672753821415
10,18,21,3,246,6,199,18,0.9488272921108742,0.9761904761904762,0.9318181818181818,0.9534883720930233,0.9512749445676274
15,17,20,3,168,3,133,9,0.9616613418530351,0.9824561403508771,0.9491525423728814,0.9655172413793104,0.9635468594217348
20,18,19,1,125,3,101,6,0.9617021276595744,0.9765625,0.9541984732824428,0.9652509652509652,0.9626761597181445
25,18,20,2,101,0,82,5,0.973404255319149,1.0,0.9528301886792453,0.9758454106280193,0.9764150943396226
30,16,20,4,82,2,63,10,0.9235668789808917,0.9761904761904762,0.8913043478260869,0.9318181818181818,0.9302675585284281
35,17,21,4,65,1,57,11,0.9104477611940298,0.9848484848484849,0.8552631578947368,0.9154929577464789,0.919010889292196
40,18,18,0,61,1,53,3,0.9661016949152542,0.9838709677419355,0.953125,0.9682539682539683,0.9673032407407407
45,14,19,5,58,3,38,6,0.9142857142857143,0.9508196721311475,0.90625,0.928,0.9165396341463414
50,16,21,5,41,0,41,12,0.8723404255319149,1.0,0.7735849056603774,0.8723404255319149,0.8867924528301887
55,15,18,3,46,1,37,2,0.9651162790697675,0.9787234042553191,0.9583333333333334,0.968421052631579,0.9660087719298246
60,15,18,3,39,0,32,8,0.8987341772151899,1.0,0.8297872340425532,0.9069767441860465,0.9148936170212766
65,15,18,3,38,0,32,3,0.958904109589041,1.0,0.926829268292683,0.9620253164556962,0.9634146341463414
70,13,17,4,31,0,29,7,0.8955223880597015,1.0,0.8157894736842105,0.8985507246376812,0.9078947368421053
