Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,19,19,0,524,0,413,0,1.0,1.0,1.0,1.0,1.0
10,18,18,0,264,0,205,0,1.0,1.0,1.0,1.0,1.0
15,17,17,0,177,0,136,0,1.0,1.0,1.0,1.0,1.0
20,18,18,0,129,0,104,2,0.9914893617021276,1.0,0.9847328244274809,0.9923076923076923,0.9923664122137404
25,18,18,0,106,0,82,0,1.0,1.0,1.0,1.0,1.0
30,16,17,1,88,0,65,4,0.9745222929936306,1.0,0.9565217391304348,0.9777777777777777,0.9782608695652174
35,17,17,0,76,0,58,0,1.0,1.0,1.0,1.0,1.0
40,18,18,0,63,0,54,1,0.9915254237288136,1.0,0.984375,0.9921259842519685,0.9921875
45,14,15,1,62,0,41,2,0.9809523809523809,1.0,0.96875,0.9841269841269841,0.984375
50,16,16,0,53,0,41,0,1.0,1.0,1.0,1.0,1.0
55,15,15,0,48,0,38,0,1.0,1.0,1.0,1.0,1.0
60,15,15,0,44,0,32,3,0.9620253164556962,1.0,0.9361702127659575,0.967032967032967,0.9680851063829787
65,15,15,0,41,0,32,0,1.0,1.0,1.0,1.0,1.0
70,13,13,0,38,0,29,0,1.0,1.0,1.0,1.0,1.0
