Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,46,31,462,247,137,87,0.6420150053590568,0.6516220028208745,0.8415300546448088,0.7344992050874404,0.599150443989071
10,15,40,25,224,104,88,51,0.6680942184154176,0.6829268292682927,0.8145454545454546,0.7429519071310116,0.636439393939394
15,15,30,15,160,89,40,22,0.6430868167202572,0.642570281124498,0.8791208791208791,0.7424593967517401,0.5945991992503621
20,15,29,14,114,55,38,27,0.6495726495726496,0.6745562130177515,0.8085106382978723,0.7354838709677419,0.6085563944177533
25,15,35,20,74,33,45,35,0.6363636363636364,0.6915887850467289,0.6788990825688074,0.6851851851851852,0.6279110797459422
30,15,23,8,65,33,31,27,0.6153846153846154,0.6632653061224489,0.7065217391304348,0.6842105263157895,0.5954483695652174
35,15,25,10,51,28,28,27,0.5895522388059702,0.6455696202531646,0.6538461538461539,0.6496815286624203,0.5769230769230769
40,15,22,7,52,23,23,19,0.6410256410256411,0.6933333333333334,0.7323943661971831,0.7123287671232876,0.6161971830985915
45,14,20,6,45,16,27,16,0.6923076923076923,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.6828059473884864
50,15,20,5,33,16,23,22,0.5957446808510638,0.673469387755102,0.6,0.6346153846153846,0.5948717948717949
55,15,21,6,36,15,18,16,0.6352941176470588,0.7058823529411765,0.6923076923076923,0.6990291262135923,0.6188811188811189
60,14,14,0,31,16,16,15,0.6025641025641025,0.6595744680851063,0.6739130434782609,0.6666666666666666,0.5869565217391304
65,14,14,0,32,17,14,9,0.6388888888888888,0.6530612244897959,0.7804878048780488,0.7111111111111111,0.6160503540519277
70,13,16,3,29,10,16,12,0.6716417910447762,0.7435897435897436,0.7073170731707317,0.725,0.6613508442776735
75,14,15,1,23,12,16,12,0.6190476190476191,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.6142857142857143
80,12,12,0,22,9,15,13,0.6271186440677966,0.7096774193548387,0.6285714285714286,0.6666666666666666,0.6267857142857143
85,14,11,-3,17,12,14,12,0.5636363636363636,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5623342175066313
90,11,12,1,22,11,10,9,0.6153846153846154,0.6666666666666666,0.7096774193548387,0.6875,0.5929339477726574
