Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,47,47,0,364,573,0,0.6115261472785486,0.0,0.0,0.0,0.6115261472785486
10,0,35,35,0,177,292,0,0.6226012793176973,0.0,0.0,0.0,0.6226012793176973
15,0,28,28,0,128,185,0,0.5910543130990416,0.0,0.0,0.0,0.5910543130990416
20,0,26,26,0,82,153,0,0.6510638297872341,0.0,0.0,0.0,0.6510638297872341
25,0,26,26,0,70,118,0,0.6276595744680851,0.0,0.0,0.0,0.6276595744680851
30,0,30,30,0,69,88,0,0.5605095541401274,0.0,0.0,0.0,0.5605095541401274
35,0,26,26,0,48,86,0,0.6417910447761194,0.0,0.0,0.0,0.6417910447761194
40,0,20,20,0,57,61,0,0.5169491525423728,0.0,0.0,0.0,0.5169491525423728
45,0,21,21,0,50,55,0,0.5238095238095238,0.0,0.0,0.0,0.5238095238095238
50,0,21,21,0,42,52,0,0.5531914893617021,0.0,0.0,0.0,0.5531914893617021
55,0,20,20,0,28,58,0,0.6744186046511628,0.0,0.0,0.0,0.6744186046511628
60,0,16,16,0,37,42,0,0.5316455696202531,0.0,0.0,0.0,0.5316455696202531
65,0,15,15,0,35,38,0,0.5205479452054794,0.0,0.0,0.0,0.5205479452054794
70,0,17,17,0,30,37,0,0.5522388059701493,0.0,0.0,0.0,0.5522388059701493
