Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,32,32,0,263,672,0,0.718716577540107,0.0,0.0,0.0,0.718716577540107
10,0,30,30,0,133,335,0,0.7158119658119658,0.0,0.0,0.0,0.7158119658119658
15,0,26,26,0,89,223,0,0.7147435897435898,0.0,0.0,0.0,0.7147435897435898
20,0,27,27,0,71,163,0,0.6965811965811965,0.0,0.0,0.0,0.6965811965811965
25,0,23,23,0,52,135,0,0.7219251336898396,0.0,0.0,0.0,0.7219251336898396
30,0,20,20,0,44,112,0,0.717948717948718,0.0,0.0,0.0,0.717948717948718
35,0,19,19,0,37,97,0,0.7238805970149254,0.0,0.0,0.0,0.7238805970149254
40,0,17,17,0,31,86,0,0.7350427350427351,0.0,0.0,0.0,0.7350427350427351
45,0,18,18,0,36,68,0,0.6538461538461539,0.0,0.0,0.0,0.6538461538461539
50,0,15,15,0,22,72,0,0.7659574468085106,0.0,0.0,0.0,0.7659574468085106
55,0,15,15,0,21,64,0,0.7529411764705882,0.0,0.0,0.0,0.7529411764705882
60,0,16,16,0,21,57,0,0.7307692307692307,0.0,0.0,0.0,0.7307692307692307
65,0,14,14,0,23,49,0,0.6805555555555556,0.0,0.0,0.0,0.6805555555555556
70,0,15,15,0,20,47,0,0.7014925373134329,0.0,0.0,0.0,0.7014925373134329
75,0,12,12,0,14,49,0,0.7777777777777778,0.0,0.0,0.0,0.7777777777777778
80,0,11,11,0,11,48,0,0.8135593220338984,0.0,0.0,0.0,0.8135593220338984
