Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,42,31,354,191,323,69,0.7225186766275347,0.6495412844036698,0.8368794326241135,0.731404958677686,0.732642050942407
10,11,35,24,176,104,153,36,0.7014925373134329,0.6285714285714286,0.8301886792452831,0.7154471544715447,0.7127597092724469
15,11,27,16,117,58,115,23,0.7412140575079872,0.6685714285714286,0.8357142857142857,0.7428571428571429,0.7502270850536746
20,11,28,17,86,49,81,19,0.7106382978723405,0.6370370370370371,0.819047619047619,0.7166666666666667,0.721062271062271
25,11,23,12,65,30,73,20,0.7340425531914894,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.7367218732153056
30,11,27,16,57,35,51,14,0.6878980891719745,0.6195652173913043,0.8028169014084507,0.6993865030674846,0.6979200786112021
35,10,29,19,48,30,43,13,0.6791044776119403,0.6153846153846154,0.7868852459016393,0.6906474820143885,0.6879631708960252
40,10,24,14,41,28,36,13,0.652542372881356,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.6608796296296297
45,10,19,9,35,16,42,12,0.7333333333333333,0.6862745098039216,0.7446808510638298,0.7142857142857143,0.7344093910491563
50,11,20,9,30,22,30,12,0.6382978723404256,0.5769230769230769,0.7142857142857143,0.6382978723404256,0.6456043956043955
55,11,20,9,24,15,33,14,0.6627906976744186,0.6153846153846154,0.631578947368421,0.6233766233766234,0.6595394736842105
60,10,15,5,28,17,24,10,0.6582278481012658,0.6222222222222222,0.7368421052631579,0.6746987951807228,0.6611039794608472
65,10,19,9,26,14,24,9,0.684931506849315,0.65,0.7428571428571429,0.6933333333333334,0.687218045112782
70,10,19,9,24,16,20,7,0.6567164179104478,0.6,0.7741935483870968,0.676056338028169,0.6648745519713262
