Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,6,6,0,35,902,0,0.9626467449306296,0.0,0.0,0.0,0.9626467449306296
10,0,2,2,0,14,455,0,0.9701492537313433,0.0,0.0,0.0,0.9701492537313433
15,0,2,2,0,7,306,0,0.9776357827476039,0.0,0.0,0.0,0.9776357827476039
20,0,3,3,0,11,224,0,0.9531914893617022,0.0,0.0,0.0,0.9531914893617022
25,0,2,2,0,3,185,0,0.9840425531914894,0.0,0.0,0.0,0.9840425531914894
30,0,3,3,0,7,150,0,0.9554140127388535,0.0,0.0,0.0,0.9554140127388535
35,0,4,4,0,4,130,0,0.9701492537313433,0.0,0.0,0.0,0.9701492537313433
40,0,3,3,0,6,112,0,0.9491525423728814,0.0,0.0,0.0,0.9491525423728814
45,0,6,6,0,6,99,0,0.9428571428571428,0.0,0.0,0.0,0.9428571428571428
50,0,6,6,0,8,86,0,0.9148936170212766,0.0,0.0,0.0,0.9148936170212766
55,0,1,1,0,1,85,0,0.9883720930232558,0.0,0.0,0.0,0.9883720930232558
60,0,4,4,0,5,74,0,0.9367088607594937,0.0,0.0,0.0,0.9367088607594937
65,0,2,2,0,5,68,0,0.9315068493150684,0.0,0.0,0.0,0.9315068493150684
70,0,12,12,0,15,52,0,0.7761194029850746,0.0,0.0,0.0,0.7761194029850746
