Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,44,44,0,184,757,0,0.8044633368756642,0.0,0.0,0.0,0.8044633368756642
10,0,34,34,0,96,375,0,0.7961783439490446,0.0,0.0,0.0,0.7961783439490446
15,0,21,21,0,52,262,0,0.8343949044585988,0.0,0.0,0.0,0.8343949044585988
20,0,22,22,0,47,189,0,0.8008474576271186,0.0,0.0,0.0,0.8008474576271186
25,0,22,22,0,35,154,0,0.8148148148148148,0.0,0.0,0.0,0.8148148148148148
30,0,14,14,0,22,135,0,0.8598726114649682,0.0,0.0,0.0,0.8598726114649682
35,0,19,19,0,25,110,0,0.8148148148148148,0.0,0.0,0.0,0.8148148148148148
40,0,19,19,0,26,92,0,0.7796610169491526,0.0,0.0,0.0,0.7796610169491526
45,0,17,17,0,23,82,0,0.780952380952381,0.0,0.0,0.0,0.780952380952381
50,0,15,15,0,21,74,0,0.7789473684210526,0.0,0.0,0.0,0.7789473684210526
