Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,36,23,303,132,406,98,0.7550585729499467,0.696551724137931,0.7556109725685786,0.7248803827751196,0.7551289063586387
10,13,31,18,150,67,201,52,0.7468085106382979,0.6912442396313364,0.7425742574257426,0.7159904534606205,0.7462871287128713
15,13,27,14,94,45,135,39,0.731629392971246,0.6762589928057554,0.706766917293233,0.6911764705882353,0.7283834586466165
20,13,24,11,72,35,101,27,0.7361702127659574,0.6728971962616822,0.7272727272727273,0.6990291262135923,0.7349598930481284
25,13,21,8,59,27,82,20,0.75,0.686046511627907,0.7468354430379747,0.7151515151515152,0.749564510509813
30,13,22,9,48,25,63,21,0.7070063694267515,0.6575342465753424,0.6956521739130435,0.676056338028169,0.7057806324110671
35,12,20,8,39,18,58,20,0.7185185185185186,0.6842105263157895,0.6610169491525424,0.6724137931034483,0.7120874219446922
40,12,20,8,37,18,51,12,0.7457627118644068,0.6727272727272727,0.7551020408163265,0.7115384615384616,0.7471162377994676
45,12,22,10,32,19,41,13,0.6952380952380952,0.6274509803921569,0.7111111111111111,0.6666666666666666,0.6972222222222222
50,11,20,9,30,18,34,12,0.6808510638297872,0.625,0.7142857142857143,0.6666666666666666,0.6840659340659341
55,11,15,4,25,11,37,13,0.7209302325581395,0.6944444444444444,0.6578947368421053,0.6756756756756757,0.7143640350877194
60,12,16,4,21,13,31,14,0.6582278481012658,0.6176470588235294,0.6,0.6086956521739131,0.6522727272727273
